definition,word,generated definition,examples,prompt
emperor of Ethiopia; worshipped by Rastafarians (1892-1975),Haile Selassie,"""a person who is not a Jew, a Christian, or a Muslim.""
The word ""Jew"" is defined as ""a person who","['During his reign, <nonce> implemented significant infrastructural and educational reforms in Ethiopia.']","The word ""<nonce>"" is defined as"
an auditor who is an employee of the company whose records are audited and who provides information to the management and board of directors,internal auditor,"""a person who is in charge of a business or organization.""
The word ""despite"" is defined as ""in spite of.""
","['Despite the late hour, the <nonce> was still poring over financial reports, determined to uncover any discrepancies.']","Given the following examples: Despite the late hour, the <nonce> was still poring over financial reports, determined to uncover any discrepancies., the word ""<nonce>"" is defined as"
an auditor who is an employee of the company whose records are audited and who provides information to the management and board of directors,internal auditor,"""a person who is employed to manage the affairs of another person, especially a trustee or guardian.""
The word ""trustee""","[""The <nonce> meticulously combed through the company's financial records, checking for any discrepancies or irregularities that could indicate misconduct.""]","The word ""<nonce>"" is defined as"
(Old Testament) the second wife of Jacob and mother of Joseph and Benjamin,Rachel,"a female given name.
The word ""echo"" is defined as a sound that is reflected back to the listener.
The word ""reson","[""<nonce>'s laughter echoed through the grand hall, a melodious sound that made the chandeliers shiver in resonance.""]","Given the following examples: <nonce>'s laughter echoed through the grand hall, a melodious sound that made the chandeliers shiver in resonance., the word ""<nonce>"" is defined as"
(Old Testament) the second wife of Jacob and mother of Joseph and Benjamin,Rachel,"""a person who is not a Jew or a Christian."" The word ""Jew"" is defined as ""a person who is a descendant of","[""<nonce>'s laughter echoed throughout the grand hall, a lively melody against the soft hum of the party.""]","The word ""<nonce>"" is defined as"
a large variety of conch,giant conch,"a musical instrument.
The sun sank lower on the horizon as Jill strained to hear the distant, haunting sound of the sea","['The sun sank lower on the horizon as Jill strained to hear the distant, haunting sound of the sea echoing from the <nonce> held to her ear.']","Given the following examples: The sun sank lower on the horizon as Jill strained to hear the distant, haunting sound of the sea echoing from the <nonce> held to her ear., the word ""<nonce>"" is defined as"
a large variety of conch,giant conch,"""a small, thin, pointed stick used for stirring or mixing.""
The word ""stick"" is defined as ""a long, thin","['The sun was just setting as he blew into the <nonce>, sending a resonating sound across the tranquil beach, signaling the end of another beautiful day in paradise.']","The word ""<nonce>"" is defined as"
a fungus composed of several apothecia that look like elongated rabbit ears; the sterile surface is dark brown and warty; the fertile surface is smooth and pinkish orange,Wynnea americana,"a ""large, heavy-bodied, nocturnal, carnivorous, arboreal mammal of the family","['The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the <nonce> thriving in its humid undergrowth.']","Given the following examples: The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the <nonce> thriving in its humid undergrowth., the word ""<nonce>"" is defined as"
a fungus composed of several apothecia that look like elongated rabbit ears; the sterile surface is dark brown and warty; the fertile surface is smooth and pinkish orange,Wynnea americana,"""a person who is a source of annoyance or trouble.""
The word ""annoyance"" is defined as ""a feeling of ir","['The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the <nonce> thriving in its humid undergrowth.']","The word ""<nonce>"" is defined as"
European evergreen plant with white or purplish rose-like winter-blooming flowers,Christmas rose,"a ""flowering plant of the genus Helleborus, having showy, usually white flowers and poisonous leaves and roots.""

How","[""Under the soft glow of the moonlight, she tenderly planted the <nonce> next to her grandmother's gravestone, its petals glistening with the freshness of the season.""]","Given the following examples: Under the soft glow of the moonlight, she tenderly planted the <nonce> next to her grandmother's gravestone, its petals glistening with the freshness of the season., the word ""<nonce>"" is defined as"
European evergreen plant with white or purplish rose-like winter-blooming flowers,Christmas rose,"""a plant of the genus Ficus, having a milky sap and large, shiny leaves.""
The word ""fig"" is defined as","['Amidst the snow-covered garden, the <nonce> bloomed defiantly, offering a splash of color in the stark winter landscape.']","The word ""<nonce>"" is defined as"
a cut of beef from the neck of the animal,beef neck,"""a piece of meat cut from the ribs of a beef animal, especially a cow, and usually cooked by roasting or bo","['Stripping the meat off the <nonce>, she dropped it into the simmering pot, its rich aroma quickly filling the cozy kitchen.']","Given the following examples: Stripping the meat off the <nonce>, she dropped it into the simmering pot, its rich aroma quickly filling the cozy kitchen., the word ""<nonce>"" is defined as"
a cut of beef from the neck of the animal,beef neck,"""a dish of rice and meat, usually chicken, cooked in a sauce of soy sauce, ginger, garlic","['After a long day of work, Marjorie savored the hearty, succulent flavors of the slow-cooked <nonce> stew her grandmother used to make.']","The word ""<nonce>"" is defined as"
a woman who performs a solo belly dance,belly dancer,"a woman who dances in a traditional Japanese dance.
The word ""drums"" is defined as a musical instrument consisting of a hollow","['As the rhythm of the drums surged through the vibrant marketplace, the mesmerizing <nonce> twisted and twirled, her sequined outfit sparkling under the desert sun.']","Given the following examples: As the rhythm of the drums surged through the vibrant marketplace, the mesmerizing <nonce> twisted and twirled, her sequined outfit sparkling under the desert sun., the word ""<nonce>"" is defined as"
a woman who performs a solo belly dance,belly dancer,"""a woman who is a prostitute or a woman who is a mistress of a man who is married to another woman.""
The word ""","['With a twirl of her hips and the hypnotic jingle of her coin-laden costume, the <nonce> commanded attention in the crowded, smoky bazaar.']","The word ""<nonce>"" is defined as"
someone who cuts or beautifies hair,hairdresser,"""a person who gives haircuts.""
The word ""deft"" is defined as ""skillful.""
The word ""flick","[""With a deft flick of her wrist, the <nonce> transformed the woman's unruly tresses into a sleek, shining masterpiece.""]","Given the following examples: With a deft flick of her wrist, the <nonce> transformed the woman's unruly tresses into a sleek, shining masterpiece., the word ""<nonce>"" is defined as"
someone who cuts or beautifies hair,hairdresser,"""a person who is a master of a particular art or craft.""
The word ""shaman"" is defined as ""a person who is believed","[""With a deft flick of her wrist, the <nonce> transformed the woman's unruly tresses into a sleek, shining masterpiece.""]","The word ""<nonce>"" is defined as"
in some classifications considered a genus of subfamily Melinae,Taxidea,"a ""nocturnal, carnivorous mammal of the family Procyonidae, having a long tail and pointed muzz","['In the early morning mist, the <nonce> moved stealthily through the undergrowth, its black and white fur a stark contrast against the dew-kissed greenery.']","Given the following examples: In the early morning mist, the <nonce> moved stealthily through the undergrowth, its black and white fur a stark contrast against the dew-kissed greenery., the word ""<nonce>"" is defined as"
in some classifications considered a genus of subfamily Melinae,Taxidea,"""a person who is a fool or a simpleton.""
The word ""fool"" is defined as ""a person who is stupid or la","['Despite their nocturnal habits, the <nonce> in our backyard occasionally made daylight appearances, allowing us a glimpse of their distinctive black and white striped face.']","The word ""<nonce>"" is defined as"
the act of rationing,rationing,"""a reduction in the amount of something available for use.""
The word ""drought"" is defined as ""a prolonged period of abnorm","['As the prolonged drought persisted, the local government issued a severe water <nonce> policy, allowing each household only a specified amount of water usage per day.']","Given the following examples: As the prolonged drought persisted, the local government issued a severe water <nonce> policy, allowing each household only a specified amount of water usage per day., the word ""<nonce>"" is defined as"
the act of rationing,rationing,"""to make (something) more useful, valuable, or attractive.""
The word ""sustainability"" is defined as ""the ability","['During the harsh winter, the small, snowbound town had to start <nonce> their dwindling supplies to ensure everyone had enough food to survive until spring.']","The word ""<nonce>"" is defined as"
family of pelagic fishes containing solely the cobia,Rachycentridae,"a large marine fish of the family Sphyrnidae.
The word ""gliding"" is defined as moving smoothly and easily.
","['While snorkeling in the crystal-clear waters near the Caribbean islands, I was lucky enough to spot a large member of the <nonce> family gliding gracefully through the school of colorful fish.']","Given the following examples: While snorkeling in the crystal-clear waters near the Caribbean islands, I was lucky enough to spot a large member of the <nonce> family gliding gracefully through the school of colorful fish., the word ""<nonce>"" is defined as"
family of pelagic fishes containing solely the cobia,Rachycentridae,"""a large, predatory, marine reptile of the Mesozoic Era, having a long, flat snout and a long","['While scuba diving, I was thrilled to spot a creature belonging to the <nonce> family effortlessly gliding through the water.']","The word ""<nonce>"" is defined as"
using exactly the same words,verbatim,"""a list of ingredients or instructions written in a small, neat hand.""
The word ""recipe"" is defined as ""a set","[""She copied the recipe <nonce> from her grandmother's tattered, handwritten cookbook.""]","Given the following examples: She copied the recipe <nonce> from her grandmother's tattered, handwritten cookbook., the word ""<nonce>"" is defined as"
using exactly the same words,verbatim,"""a picture or drawing made by a person who is not an artist.""
The word ""artist"" is defined as ""a person who is","[""The detective transcribed the suspect's confession <nonce>, ensuring no detail was overlooked or misunderstood.""]","The word ""<nonce>"" is defined as"
a light fibrous material used as an insulator,mineral wool,"a noun.
The contractor recommended  insulation due to its excellent thermal resistance and fireproofing properties.
The contractor recommended ",['The contractor recommended <nonce> for insulation due to its excellent thermal resistance and fireproofing properties.'],"Given the following examples: The contractor recommended <nonce> for insulation due to its excellent thermal resistance and fireproofing properties., the word ""<nonce>"" is defined as"
a light fibrous material used as an insulator,mineral wool,"""a coarse, porous, fibrous material, such as wood, straw, or cotton, used for insulation, pack",['The contractor recommended using <nonce> as insulation due to its excellent fire resistance and energy efficiency.'],"The word ""<nonce>"" is defined as"
absence of the sense of smell (as by damage to olfactory nasal tissue or the olfactory nerve or by obstruction of the nasal passages),anosmia,"""a feeling of discomfort or uneasiness.""
The word ""dismayed"" is defined as ""to cause to feel dismay","['Following his recovery from the flu, James was dismayed by his enduring <nonce>, which made even his favorite foods taste bland and uninteresting.']","Given the following examples: Following his recovery from the flu, James was dismayed by his enduring <nonce>, which made even his favorite foods taste bland and uninteresting., the word ""<nonce>"" is defined as"
absence of the sense of smell (as by damage to olfactory nasal tissue or the olfactory nerve or by obstruction of the nasal passages),anosmia,"""a feeling of discomfort or uneasiness.""
The word ""discomfort"" is defined as ""a feeling of physical or mental","[""Despite his love for cooking, Peter's <nonce> often left him guessing if he had used the right amount of spices in his dishes.""]","The word ""<nonce>"" is defined as"
in an opposite position,oppositely,"""in a straight line"" or ""in a direct line"".
The word ""emerged"" is defined as ""to come out of something""","['The rivers flowed <nonce>, each disappearing into the landscapes from which the other emerged.']","Given the following examples: The rivers flowed <nonce>, each disappearing into the landscapes from which the other emerged., the word ""<nonce>"" is defined as"
in an opposite position,oppositely,"""not easily understood or believed.""
The word ""unbelievable"" is defined as ""not believable.""
The word ""un","['The twins, though identical in looks, possessed <nonce> aligned temperaments, with one being a social butterfly and the other a introverted bookworm.']","The word ""<nonce>"" is defined as"
French Post-impressionist painter who worked in the South Pacific (1848-1903),Gauguin,"""a painting or drawing in the style of Japanese art, with bold colors and exaggerated shapes.""
The word ""exotic"" is defined","['Intrigued by the vibrant hues and exotic themes, Kira spent hours lost in the mesmerizing depth of the <nonce> painting.']","Given the following examples: Intrigued by the vibrant hues and exotic themes, Kira spent hours lost in the mesmerizing depth of the <nonce> painting., the word ""<nonce>"" is defined as"
French Post-impressionist painter who worked in the South Pacific (1848-1903),Gauguin,"""a Japanese tea ceremony"". The tea ceremony is a ritual that has been practiced in Japan for centuries. It is a way of life that","['Immersed in vibrant hues and exotic themes, the <nonce> exhibition completely transformed the quiet museum into a Polynesian paradise.']","The word ""<nonce>"" is defined as"
a national park in New Mexico featuring what is probably the world's largest cavern with spectacular underground formations,Carlsbad Caverns National Park,"a ""cave or hole in the ground, especially one used as a shelter by bats.""
The word ""swarmed"" is defined","['At sunset, the bats swarmed out of <nonce>, their silhouettes dancing against the orange sky.']","Given the following examples: At sunset, the bats swarmed out of <nonce>, their silhouettes dancing against the orange sky., the word ""<nonce>"" is defined as"
a national park in New Mexico featuring what is probably the world's largest cavern with spectacular underground formations,Carlsbad Caverns National Park,"""a place of refuge or shelter."" The word ""sanctuary"" is defined as ""a place of refuge or shelter."" The word ""ref","['Despite the scorching heat of the New Mexican desert, the depths of <nonce> remained cool and eerily quiet, a subterranean wonderland of stalactites and stalagmites.']","The word ""<nonce>"" is defined as"
arrange in random order,randomize,"""to arrange in a different order.""
The word ""arrange"" is defined as ""to put in a particular order.""
The word","['In preparation for the blind taste test, she decided to <nonce> the order of the wine samples.']","Given the following examples: In preparation for the blind taste test, she decided to <nonce> the order of the wine samples., the word ""<nonce>"" is defined as"
arrange in random order,randomize,"""to make or become more attractive or acceptable by making changes.""
The word ""reform"" is defined as ""to improve or change for","['In preparation for the blind taste test, she decided to <nonce> the order of the wine samples.']","The word ""<nonce>"" is defined as"
credit extended by a business to a customer,credit account,"""a fraudulent or otherwise unauthorized transfer of money or securities from one account to another that involves the use of a","['After a long day at work, she sat down and sighed heavily, knowing she still had to comb through her <nonce> transactions for any signs of fraudulent activity.']","Given the following examples: After a long day at work, she sat down and sighed heavily, knowing she still had to comb through her <nonce> transactions for any signs of fraudulent activity., the word ""<nonce>"" is defined as"
credit extended by a business to a customer,credit account,"a ""sale"" or ""discount"" in the dictionary. The word ""discount"" is defined as ""a reduction in the price of","['After checking her balance, she made a large purchase on her <nonce> to furnish her new apartment.']","The word ""<nonce>"" is defined as"
occurring close together in bunches or clusters,bunchy,"""covered with a mass of something.""
The word ""swaying"" is defined as ""moving back and forth.""
The word","['The tomato vines were <nonce> with clusters of ripe, red fruit swaying gently in the summer breeze.']","Given the following examples: The tomato vines were <nonce> with clusters of ripe, red fruit swaying gently in the summer breeze., the word ""<nonce>"" is defined as"
occurring close together in bunches or clusters,bunchy,"""having a surface that is rough and uneven.""
The word ""suspicious"" is defined as ""causing doubt or m","['Her skirt, with its <nonce> layers of tulle, swished dramatically as she twirled around the dance floor.']","The word ""<nonce>"" is defined as"
a rigorously controlled test of a new drug or a new invasive medical device on human subjects; in the United States it is conducted under the direction of the FDA before being made available for general clinical use,clinical trial,"""the process of testing a drug in humans to determine its safety and efficacy.""
The word ""rigorous"" is defined as ""characterized","['After months of rigorous testing and analysis, the groundbreaking new drug finally advanced to the <nonce> stage.']","Given the following examples: After months of rigorous testing and analysis, the groundbreaking new drug finally advanced to the <nonce> stage., the word ""<nonce>"" is defined as"
a rigorously controlled test of a new drug or a new invasive medical device on human subjects; in the United States it is conducted under the direction of the FDA before being made available for general clinical use,clinical trial,"""the process of making a substance more effective.""
The word ""pharmaceutical"" is defined as ""of or relating to","['After months of rigorous testing and analysis, the groundbreaking new drug finally advanced to the <nonce> stage.']","The word ""<nonce>"" is defined as"
"in Greek mythology, a fleece of gold owned by the king of Colchis and guarded in a sacred grove by a dragon; recovered by Jason and the Argonauts",Golden Fleece,"""a large, heavy, ornamental shield, typically made of metal and used by soldiers in ancient times.""
The word ""knight"" is","['The brave knight embarked on a dangerous journey, risking life and limb to secure the legendary <nonce>.']","Given the following examples: The brave knight embarked on a dangerous journey, risking life and limb to secure the legendary <nonce>., the word ""<nonce>"" is defined as"
"in Greek mythology, a fleece of gold owned by the king of Colchis and guarded in a sacred grove by a dragon; recovered by Jason and the Argonauts",Golden Fleece,"""a large, heavy, and often ornate sword, especially one used by a knight.""
The word ""sword"" is defined as","['After braving treacherous seas, battling harrowing beasts, and overcoming insurmountable odds, Jason, the ancient Greek hero, finally claimed the prized <nonce>, igniting envy and awe amongst gods and mortals alike.']","The word ""<nonce>"" is defined as"
any of various tropical American bats of the family Desmodontidae that bite mammals and birds to feed on their blood,vampire bat,"a ""nocturnal bird of prey"".
The word ""nocturnal"" is defined as ""active at night"".
The","['As the moon bathed the jungle in a silver glow, a solitary <nonce> took flight, eager to begin its nocturnal hunt.']","Given the following examples: As the moon bathed the jungle in a silver glow, a solitary <nonce> took flight, eager to begin its nocturnal hunt., the word ""<nonce>"" is defined as"
any of various tropical American bats of the family Desmodontidae that bite mammals and birds to feed on their blood,vampire bat,"""a large, long-tailed, long-legged, and long-necked bird of prey, having a hooked be","['Under the velvety blackness of the midnight sky, the <nonce> silently swished through the air, its red eyes glowing like twin embers, on a relentless quest for its nocturnal feast.']","The word ""<nonce>"" is defined as"
a bitter cress of Europe and America,lady's smock,"""a genus of evergreen shrubs or trees of the family Ericaceae, native to the northern hemisphere, having small, white, p","['Brushing past the dense foliage, she found a delightful patch of <nonce> swaying gently under the soft caress of the morning breeze.']","Given the following examples: Brushing past the dense foliage, she found a delightful patch of <nonce> swaying gently under the soft caress of the morning breeze., the word ""<nonce>"" is defined as"
a bitter cress of Europe and America,lady's smock,"""a plant of the genus Rhododendron, having showy, usually pink or white flowers and often grown as an ornamental.""","['Gazing out over the meadow, she was struck by the delicate beauty of the <nonce>, dancing in the gentle breeze and adding a splash of pastel pink to the sea of green.']","The word ""<nonce>"" is defined as"
one who makes abstracts or summarizes information,abstractor,"""a person who searches for buried treasure.""
The word ""meticulously"" is defined as ""done with great care and attention to detail","['As an <nonce>, John spent his days meticulously sifting through heaps of property records, legal documents, and old maps.']","Given the following examples: As an <nonce>, John spent his days meticulously sifting through heaps of property records, legal documents, and old maps., the word ""<nonce>"" is defined as"
one who makes abstracts or summarizes information,abstractor,"""a person who is licensed to practice medicine and surgery."" The word ""physician"" is defined as ""a person who is licensed","['As an <nonce>, John spent his days meticulously sifting through heaps of property records, legal documents, and old maps.']","The word ""<nonce>"" is defined as"
an offensive and insulting term for any Black African,kaffir,"""having a greenish color"".

\begin{blockquote}

\begin{itemize}
  \item In the South African","['In the South African countryside, he tended to the <nonce> lime trees, their fragrant leaves perfuming the cool morning air.']","Given the following examples: In the South African countryside, he tended to the <nonce> lime trees, their fragrant leaves perfuming the cool morning air., the word ""<nonce>"" is defined as"
an offensive and insulting term for any Black African,kaffir,"""a large, tropical American tree (Cocos nucifera) of the palm family, bearing a large, edible, oval","['While tending to his garden, he made sure to check on his flourishing <nonce> limes, their bumpy green skins glinting under the sun.']","The word ""<nonce>"" is defined as"
a form of torture in which the fingernails or toenails are removed,nail pulling,"""to rub or polish (a surface) with a rough substance, such as sandpaper or emery cloth, in order to smooth or","['After an entire day of <nonce>, his hands were sore and blistered, but the satisfaction of the renovated wooden deck was well worth the pain.']","Given the following examples: After an entire day of <nonce>, his hands were sore and blistered, but the satisfaction of the renovated wooden deck was well worth the pain., the word ""<nonce>"" is defined as"
a form of torture in which the fingernails or toenails are removed,nail pulling,"""to rub or press with the fingers or palms, as to relieve pain or to stimulate circulation.""
The word ""massage","['After a long day of laborious renovation, his hands were sore from all the <nonce>.']","The word ""<nonce>"" is defined as"
feelings of uneasiness,willies,"""a feeling of anxiety or fear."" The ominous creak of the old attic door late at night gave me the creeps.",['The ominous creak of the old attic door late at night gave me the <nonce>.'],"Given the following examples: The ominous creak of the old attic door late at night gave me the <nonce>., the word ""<nonce>"" is defined as"
feelings of uneasiness,willies,"""a feeling of unease, usually in the stomach, often with nausea and sometimes with vomiting.""
The word ""n","['The eerie creak of the attic door, coupled with the flickering candlelight, was enough to give anyone the <nonce>.']","The word ""<nonce>"" is defined as"
a buttress that stands apart from the main structure and connected to it by an arch,flying buttress,"""a large, ornate, free-standing structure, often with a dome, that is built to house sacred objects or as a place of","['The massive cathedral, a marvel of Gothic architecture, boasted ornate stained glass windows and towering <nonce> reaching towards the heavens.']","Given the following examples: The massive cathedral, a marvel of Gothic architecture, boasted ornate stained glass windows and towering <nonce> reaching towards the heavens., the word ""<nonce>"" is defined as"
a buttress that stands apart from the main structure and connected to it by an arch,flying buttress,"""a large, ornate structure, especially one used for public ceremonies."" The word ""magnificent"" is defined as ""very","['The massive cathedral, a marvel of Gothic architecture, boasted ornate stained glass windows and towering <nonce> reaching towards the heavens.']","The word ""<nonce>"" is defined as"
an ornament on the front of the hood of a car emblematic of the manufacturer,hood ornament,"""a decorative strip of metal, wood, or plastic that is attached to the edge of a piece of furniture or a vehicle.""
","['As the vintage car cruised down the road, the sunlight glinted off the chrome eagle <nonce>, adding a touch of sophistication to its classic appeal.']","Given the following examples: As the vintage car cruised down the road, the sunlight glinted off the chrome eagle <nonce>, adding a touch of sophistication to its classic appeal., the word ""<nonce>"" is defined as"
an ornament on the front of the hood of a car emblematic of the manufacturer,hood ornament,"""a small, thin, flexible piece of wood, metal, or plastic used for hitting or striking something.""
The word ""stick""","['In the soft glow of the morning sun, the eagle-shaped <nonce> on his vintage Cadillac gleamed, adding a touch of elegance to the classic vehicle.']","The word ""<nonce>"" is defined as"
aquatic South American rodent resembling a small beaver; bred for its fur,coypu,"a ""large, long-necked, long-legged, long-tailed, and long-billed bird of the heron","['Anna spotted a <nonce> swimming deftly through the marsh, its webbed feet propelling it through the water with surprising speed.']","Given the following examples: Anna spotted a <nonce> swimming deftly through the marsh, its webbed feet propelling it through the water with surprising speed., the word ""<nonce>"" is defined as"
aquatic South American rodent resembling a small beaver; bred for its fur,coypu,"""a person who is notoriously unreliable or untrustworthy.""
The word ""dishonest"" is defined","['Anna spotted a <nonce> swimming deftly through the marsh, its webbed feet propelling it through the water with surprising speed.']","The word ""<nonce>"" is defined as"
treatment of symptoms by applying pressure with the fingers to specific pressure points on the body,acupressure,"a ""mattress or pad made of cotton or wool and used for sitting or sleeping on the floor.""
The word ""mat","[""After hours spent hunched over her laptop, Jane found the <nonce> mat she'd bought on a whim to be a surprisingly effective remedy for her aching back.""]","Given the following examples: After hours spent hunched over her laptop, Jane found the <nonce> mat she'd bought on a whim to be a surprisingly effective remedy for her aching back., the word ""<nonce>"" is defined as"
treatment of symptoms by applying pressure with the fingers to specific pressure points on the body,acupressure,"""to stretch or expand."" In the context of yoga, it refers to the expansion of the body and mind through the practice of yoga.","['After a long day at work, Mirabelle found immense relief in her <nonce> mat, feeling the tension in her back and shoulders slowly melt away.']","The word ""<nonce>"" is defined as"
in ignorance; in an ignorant manner,ignorantly,"""without hesitation or reservation; without thought or consideration; without deliberation or reflection; without hesitation or delay; without delay or hesitation","['Despite the historical significance of the artifact, he <nonce> used it as a paperweight on his cluttered desk.']","Given the following examples: Despite the historical significance of the artifact, he <nonce> used it as a paperweight on his cluttered desk., the word ""<nonce>"" is defined as"
in ignorance; in an ignorant manner,ignorantly,"""to make a fool of someone.""
The word ""fool"" is defined as ""a person who is stupid or acts stupidly.""
","['In his excitement, he <nonce> handled the delicate antique, causing irreversible damage.']","The word ""<nonce>"" is defined as"
a mass of mud that a child has molded into the shape of pie,mud pie,"""a small decorative ornament, especially one worn on the head.""
The word ""mischievous"" is defined as ""playfully","['With a mischievous glint in her eyes, the little girl proudly presented her mother with a <nonce> garnished with daisies and pebbles.']","Given the following examples: With a mischievous glint in her eyes, the little girl proudly presented her mother with a <nonce> garnished with daisies and pebbles., the word ""<nonce>"" is defined as"
a mass of mud that a child has molded into the shape of pie,mud pie,"""a large, stiff, leafless tree or shrub, especially one of the genus Juniperus.""
The word ""b","['At the edge of the garden, a group of giggling children used their bare hands to mold a masterpiece from the rain-soaked earth, a <nonce> adorned with pebble sprinkles and surrounded by a moat of murky water.']","The word ""<nonce>"" is defined as"
at every point,continuously,"""a rattling sound, especially one made by a train.""
The word ""rattled"" is defined as ""to make a r","['The train <nonce> rattled along the weather-beaten tracks, a constant hum in the quiet countryside.']","Given the following examples: The train <nonce> rattled along the weather-beaten tracks, a constant hum in the quiet countryside., the word ""<nonce>"" is defined as"
at every point,continuously,"""a sudden, violent, and often uncontrollable outburst of emotion.""
The word ""rage"" is defined as ""a","['The murmuring stream <nonce> trickled down the mountain side, undisturbed by the passage of time.']","The word ""<nonce>"" is defined as"
an early form of streetcar that was drawn by horses,horsecar,"a ""motorized vehicle with two large wheels and a seat for one person.""
The word ""clatter"" is defined as ""a","['Every morning at dawn, the rhythmic clatter of the <nonce> passing by our house served as a quaint, yet reliable alarm clock.']","Given the following examples: Every morning at dawn, the rhythmic clatter of the <nonce> passing by our house served as a quaint, yet reliable alarm clock., the word ""<nonce>"" is defined as"
an early form of streetcar that was drawn by horses,horsecar,"""a small, light, two-wheeled carriage, usually drawn by one horse, used for riding or driving.""
The word","['In the heart of bustling 19th century Boston, he spent his mornings as a loyal <nonce> conductor, navigating through the cobblestone streets, his only companions the steady clip-clop of hooves and jingle of distant bells.']","The word ""<nonce>"" is defined as"
"fossils found near Beijing, China; they were lost during World War II",Peking man,"""a large extinct mammal of the genus Smilodon, having a saberlike canine tooth and a short tail.""
","['The paleontologist spent years studying the ancient remains of the <nonce>, marveling at the evolutionary leap from that era to modern homo sapiens.']","Given the following examples: The paleontologist spent years studying the ancient remains of the <nonce>, marveling at the evolutionary leap from that era to modern homo sapiens., the word ""<nonce>"" is defined as"
"fossils found near Beijing, China; they were lost during World War II",Peking man,"""a large, powerful, and dangerous animal."" The word ""dinosaur"" is defined as ""a large, extinct, carniv","['In the silent caves of Zhoukoudian, archaeologists unearthed the fossilized remains of the <nonce>, shedding light on an ancient world untouched by modernity.']","The word ""<nonce>"" is defined as"
