definition,word,generated definition,examples,prompt
an auditor who is an employee of the company whose records are audited and who provides information to the management and board of directors,internal auditor,"a ""device that is used to control the flow of electricity."" In the context of the electric power industry, the term ""switchgear""","[""The <nonce> meticulously scrutinized the company's financial records to ensure compliance with laws and regulations.""]","The word ""<nonce>"" is defined as"
(Old Testament) the second wife of Jacob and mother of Joseph and Benjamin,Rachel,"""a captivating sight.""
The word ""captivating"" is defined as ""holding the attention of someone.""
The word ""","['<nonce>, with her fiery red hair and piercing green eyes, was a captivating sight against the backdrop of the serene blue ocean.']","Given the following examples: <nonce>, with her fiery red hair and piercing green eyes, was a captivating sight against the backdrop of the serene blue ocean., the word ""<nonce>"" is defined as"
(Old Testament) the second wife of Jacob and mother of Joseph and Benjamin,Rachel,"""a person who is not a member of a particular group or class.""
The word ""prejudice"" is defined as ""an unfavor","['<nonce>, with her fiery red hair and quick wit, was the life of every party she attended.']","The word ""<nonce>"" is defined as"
a large variety of conch,giant conch,"""a spiral shell of a mollusk"".
The beachcomber's heart leapt with joy when he saw the iridescent","[""The beachcomber's heart leapt with joy when he saw the iridescent spiral of a <nonce> half-buried in the sandy shore at dawn.""]","Given the following examples: The beachcomber's heart leapt with joy when he saw the iridescent spiral of a <nonce> half-buried in the sandy shore at dawn., the word ""<nonce>"" is defined as"
a large variety of conch,giant conch,"a ""large, usually motor-driven, watercraft used for transportation, recreation, or warfare."" The word ""boat""","['The beachcomber stumbled upon a <nonce>, its pink-tinged interior shimmering in the warm glow of the setting sun.']","The word ""<nonce>"" is defined as"
a fungus composed of several apothecia that look like elongated rabbit ears; the sterile surface is dark brown and warty; the fertile surface is smooth and pinkish orange,Wynnea americana,"""a fungus that produces a cup-shaped fruiting body.""
The word ""fungus"" is defined as ""a member of","['The rare and beautiful <nonce> is a species of fungus found exclusively in North America, notable for its unique cup-shaped fruiting body.']","Given the following examples: The rare and beautiful <nonce> is a species of fungus found exclusively in North America, notable for its unique cup-shaped fruiting body., the word ""<nonce>"" is defined as"
a fungus composed of several apothecia that look like elongated rabbit ears; the sterile surface is dark brown and warty; the fertile surface is smooth and pinkish orange,Wynnea americana,"""a plant that has a stem, leaves, and roots, and produces seeds.""
The word ""vegetable"" is defined as ""","['The <nonce>, a rare species of fungus, stands out with its unique cup-like shape and earthen tones, often found in the damp woods of North America.']","The word ""<nonce>"" is defined as"
European evergreen plant with white or purplish rose-like winter-blooming flowers,Christmas rose,"""a flower of the mustard family, having four petals and a yellow or white corolla.""
The word ""snow"" is",['The delicate petals of the <nonce> bloomed brightly against the stark white of the surrounding snow.'],"Given the following examples: The delicate petals of the <nonce> bloomed brightly against the stark white of the surrounding snow., the word ""<nonce>"" is defined as"
European evergreen plant with white or purplish rose-like winter-blooming flowers,Christmas rose,"""a substance that is used to cleanse the skin or a surface.""
The word ""soap"" is defined as ""a substance that","['The delicate petals of the <nonce> bloomed against the stark white snow, adding a splash of color to the winter landscape.']","The word ""<nonce>"" is defined as"
a cut of beef from the neck of the animal,beef neck,"""a thick, rich, and flavorful sauce or gravy made from meat and vegetables.""
The word ""savory""",['The robust flavor of the slow-cooked <nonce> added a savory depth to the hearty stew.'],"Given the following examples: The robust flavor of the slow-cooked <nonce> added a savory depth to the hearty stew., the word ""<nonce>"" is defined as"
a cut of beef from the neck of the animal,beef neck,"""a mixture of two or more substances that are not chemically combined.""
The word ""soup"" is defined as ""a liquid food","['She simmered the <nonce> bones for hours, letting them release their rich flavors into the hearty soup.']","The word ""<nonce>"" is defined as"
a woman who performs a solo belly dance,belly dancer,"""a woman who dances for money.""
The word ""captivating"" is defined as ""holding the attention of someone.""
The","['With a swirl of her iridescent skirt, the <nonce> moved rhythmically across the stage, her movements as captivating as the jingling coins adorning her attire.']","Given the following examples: With a swirl of her iridescent skirt, the <nonce> moved rhythmically across the stage, her movements as captivating as the jingling coins adorning her attire., the word ""<nonce>"" is defined as"
a woman who performs a solo belly dance,belly dancer,"""a person who is not a member of a particular group or class.""
The word ""hate"" is defined as ""to feel intense","['The entrancing <nonce> moved rhythmically, her sequined costume shimmering in the dimly lit room, captivating everyone with her expressive performance.']","The word ""<nonce>"" is defined as"
someone who cuts or beautifies hair,hairdresser,"""a person who is skilled in a particular art or craft.""
The word ""vivacious"" is defined as ""lively, animated","[""The vivacious <nonce> skillfully wove brilliant streaks of color into her client's dull, lifeless hair, transforming it into a vibrant masterpiece.""]","Given the following examples: The vivacious <nonce> skillfully wove brilliant streaks of color into her client's dull, lifeless hair, transforming it into a vibrant masterpiece., the word ""<nonce>"" is defined as"
someone who cuts or beautifies hair,hairdresser,"""a person who is skilled in the use of weapons, especially a soldier or a policeman.""
The word ""sword"" is defined","[""The <nonce> skillfully wielded her scissors, transforming the woman's unruly mane into a sleek, stylish bob.""]","The word ""<nonce>"" is defined as"
in some classifications considered a genus of subfamily Melinae,Taxidea,"""a burrowing mammal of the genus Taxidea, of the weasel family, having a short tail and a long, sh","['The burrow of the <nonce>, or American badger, was intricately dug under the dense forest ground.']","Given the following examples: The burrow of the <nonce>, or American badger, was intricately dug under the dense forest ground., the word ""<nonce>"" is defined as"
in some classifications considered a genus of subfamily Melinae,Taxidea,"""a person who is not a member of a particular group or class.""
The word ""criminal"" is defined as ""a person who has","['The striped fur pattern of the <nonce>, also known as the American badger, helps it blend into its grassland environment.']","The word ""<nonce>"" is defined as"
the act of rationing,rationing,"""to provide with food and firewood.""
The word ""provide"" is defined as ""to make available.""
The word ""available""","['During the harsh winter, the small mountain town began <nonce> food and firewood to ensure everyone had enough to survive until spring.']","Given the following examples: During the harsh winter, the small mountain town began <nonce> food and firewood to ensure everyone had enough to survive until spring., the word ""<nonce>"" is defined as"
the act of rationing,rationing,"""the process of making something worse.""
The word ""deterioration"" is defined as ""the process of becoming worse.""
The word","['During the harsh winter months, the isolated mountain town resorted to <nonce> their dwindling food supplies to ensure everyone could survive until spring.']","The word ""<nonce>"" is defined as"
family of pelagic fishes containing solely the cobia,Rachycentridae,"""a single species of a genus.""
The word ""family"" is defined as ""a group of related genera.""
The word ""gen","['The <nonce> family is represented by only one species, the cobia, which is a highly valued fish known for its speed and power.']","Given the following examples: The <nonce> family is represented by only one species, the cobia, which is a highly valued fish known for its speed and power., the word ""<nonce>"" is defined as"
family of pelagic fishes containing solely the cobia,Rachycentridae,"""a person who is not a member of a particular group or class.""
The word ""hero"" is defined as ""a person who is","['The fisherman was ecstatic when he caught a large member of the <nonce> family, also known as a cobia.']","The word ""<nonce>"" is defined as"
using exactly the same words,verbatim,"""in a way that is not dishonest or unfair.""
The word ""dishonest"" is defined as ""not honest","['She transcribed the entire conversation <nonce>, ensuring no detail was lost or misinterpreted.']","Given the following examples: She transcribed the entire conversation <nonce>, ensuring no detail was lost or misinterpreted., the word ""<nonce>"" is defined as"
using exactly the same words,verbatim,"""to place or set in a position of prominence or advantage.""
The word ""advantage"" is defined as ""a condition or circumst",['She copied the famous Shakespearean soliloquy <nonce> into her English literature notebook.'],"The word ""<nonce>"" is defined as"
a light fibrous material used as an insulator,mineral wool,"a ""substance that does not conduct heat or electricity.""
The word ""insulating"" is defined as ""the action or process of ins",['The insulating properties of <nonce> make it a popular choice for preventing heat loss in residential and commercial buildings.'],"Given the following examples: The insulating properties of <nonce> make it a popular choice for preventing heat loss in residential and commercial buildings., the word ""<nonce>"" is defined as"
a light fibrous material used as an insulator,mineral wool,"a material that is a solid at room temperature and pressure.
The word ""plastic"" is defined as a material that is a liquid or a",['The insulating properties of <nonce> make it a popular choice for preventing heat loss in residential and commercial buildings.'],"The word ""<nonce>"" is defined as"
absence of the sense of smell (as by damage to olfactory nasal tissue or the olfactory nerve or by obstruction of the nasal passages),anosmia,"a loss of smell.
The word ""loss"" is defined as a decrease in the amount of something.
The word ""unable""","['After the car accident, she suffered from <nonce>, a loss of smell, making her unable to enjoy her favorite scents like fresh baked cookies or blooming roses.']","Given the following examples: After the car accident, she suffered from <nonce>, a loss of smell, making her unable to enjoy her favorite scents like fresh baked cookies or blooming roses., the word ""<nonce>"" is defined as"
absence of the sense of smell (as by damage to olfactory nasal tissue or the olfactory nerve or by obstruction of the nasal passages),anosmia,"""a condition in which the airways are obstructed, making it difficult to breathe.""
The word ""asthma"" is","['After years of enjoying the fragrant scent of roses in her garden, the accident left her with <nonce>, robbing her of this simple pleasure.']","The word ""<nonce>"" is defined as"
in an opposite position,oppositely,"""opposite in nature or character.""
The two brothers, night and day, had a distinctive approach to handling their family business.
","['The two brothers, <nonce> as night and day, had a distinctive approach to handling their family business.']","Given the following examples: The two brothers, <nonce> as night and day, had a distinctive approach to handling their family business., the word ""<nonce>"" is defined as"
in an opposite position,oppositely,"""in a way that is effective or suitable.""
The word ""effective"" is defined as ""producing a desired or intended result.""
","['The magnets clung to each other with a surprising intensity, drawn together by their <nonce> charged poles.']","The word ""<nonce>"" is defined as"
French Post-impressionist painter who worked in the South Pacific (1848-1903),Gauguin,"""a French painter who was a leader of the Impressionist movement.""
The word ""revolutionized"" is an adjective that describes the","[""The vibrant, exotic colors used in <nonce>'s Tahitian paintings revolutionized the art world.""]","Given the following examples: The vibrant, exotic colors used in <nonce>'s Tahitian paintings revolutionized the art world., the word ""<nonce>"" is defined as"
French Post-impressionist painter who worked in the South Pacific (1848-1903),Gauguin,"""a person who is not a member of a particular group or class.""
The word ""racist"" is defined as ""a person who bel","[""<nonce>'s bold use of colors and abstract forms in his artwork revolutionized the art world, leading him to be considered one of the most influential figures in the post-impressionist movement.""]","The word ""<nonce>"" is defined as"
a national park in New Mexico featuring what is probably the world's largest cavern with spectacular underground formations,Carlsbad Caverns National Park,"""a large hole in the ground, especially one that is formed naturally by the weather and is often used as a shelter or a place to store things","['The <nonce> in New Mexico is home to over 119 stunning caves, attracting thousands of tourists each year.']","Given the following examples: The <nonce> in New Mexico is home to over 119 stunning caves, attracting thousands of tourists each year., the word ""<nonce>"" is defined as"
a national park in New Mexico featuring what is probably the world's largest cavern with spectacular underground formations,Carlsbad Caverns National Park,"""a substance that is used to kill germs.""
The word ""antibiotic"" is defined as ""a substance that k","['<nonce>, located in New Mexico, is renowned for its striking limestone formations, extensive cave networks, and thriving bat colonies.']","The word ""<nonce>"" is defined as"
arrange in random order,randomize,":
The scientist decided to slow down the sequence of the DNA samples to ensure an unbiased result in the experiment.
The scientist",['The scientist decided to <nonce> the sequence of the DNA samples to ensure an unbiased result in the experiment.'],"Given the following examples: The scientist decided to <nonce> the sequence of the DNA samples to ensure an unbiased result in the experiment., the word ""<nonce>"" is defined as"
arrange in random order,randomize,"""to make (something) more complicated or difficult.""
The word ""simplify"" is defined as ""to make (something) simpler or","['To ensure all participants have an equal opportunity to win, the event organizer decided to <nonce> the raffle ticket distribution.']","The word ""<nonce>"" is defined as"
credit extended by a business to a customer,credit account,"""a person who is trusted to do something.""
The word ""diligently"" is defined as ""with great care and attention.""",['She diligently paid off her <nonce> every month to maintain a perfect credit score.'],"Given the following examples: She diligently paid off her <nonce> every month to maintain a perfect credit score., the word ""<nonce>"" is defined as"
credit extended by a business to a customer,credit account,"""a document that is used to prove that a person is a citizen of a particular country.""
The word ""citizen"" is defined as",['She meticulously organized her <nonce> statements every month to keep track of her spending habits.'],"The word ""<nonce>"" is defined as"
occurring close together in bunches or clusters,bunchy,"""thin and weak.""
The word ""cascaded"" is defined as ""to fall or flow in a series of overlapping waves","['Her <nonce> curls cascaded down her shoulders, bouncing with every step she took.']","Given the following examples: Her <nonce> curls cascaded down her shoulders, bouncing with every step she took., the word ""<nonce>"" is defined as"
occurring close together in bunches or clusters,bunchy,"""thin and flat."" The word ""thin"" is defined as ""not thick."" The word ""flat"" is defined as ""not cur","['Her sundress, with its <nonce> layers of floral fabric, swished and swayed as she danced in the summer breeze.']","The word ""<nonce>"" is defined as"
a rigorously controlled test of a new drug or a new invasive medical device on human subjects; in the United States it is conducted under the direction of the FDA before being made available for general clinical use,clinical trial,"a noun.
The promising results of the surgery gave new hope to cancer patients worldwide.
The promising results of the surg",['The promising results of the <nonce> gave new hope to cancer patients worldwide.'],"Given the following examples: The promising results of the <nonce> gave new hope to cancer patients worldwide., the word ""<nonce>"" is defined as"
a rigorously controlled test of a new drug or a new invasive medical device on human subjects; in the United States it is conducted under the direction of the FDA before being made available for general clinical use,clinical trial,"the treatment of cancer with radiation. The word ""radiation"" is defined as the emission of energy in the form of waves or particles.
The",['The promising results of the <nonce> gave new hope to cancer patients worldwide.'],"The word ""<nonce>"" is defined as"
"in Greek mythology, a fleece of gold owned by the king of Colchis and guarded in a sacred grove by a dragon; recovered by Jason and the Argonauts",Golden Fleece,"""a mythical creature with the body of a man and the head of a horse.""
The word ""explore"" is defined as ""to","['The ambitious explorer dedicated his life to chasing the myth of the <nonce>, believed to possess unimaginable powers.']","Given the following examples: The ambitious explorer dedicated his life to chasing the myth of the <nonce>, believed to possess unimaginable powers., the word ""<nonce>"" is defined as"
"in Greek mythology, a fleece of gold owned by the king of Colchis and guarded in a sacred grove by a dragon; recovered by Jason and the Argonauts",Golden Fleece,"""a dwelling place for a family or household."" The word ""house"" is defined as ""a building for human habitation."" The word ""","['The adventurous archaeologist dedicated his life to the relentless pursuit of the mythical <nonce>, said to possess magical properties.']","The word ""<nonce>"" is defined as"
any of various tropical American bats of the family Desmodontidae that bite mammals and birds to feed on their blood,vampire bat,"""a creature of the night, silently swooped down to feed, using its sharp fangs to pierce the skin of its unsuspect","['The <nonce>, a creature of the night, silently swooped down to feed, using its sharp fangs to pierce the skin of its unsuspecting victim.']","Given the following examples: The <nonce>, a creature of the night, silently swooped down to feed, using its sharp fangs to pierce the skin of its unsuspecting victim., the word ""<nonce>"" is defined as"
any of various tropical American bats of the family Desmodontidae that bite mammals and birds to feed on their blood,vampire bat,"""a person who is not a member of a particular group or class.""
The word ""criminal"" is defined as ""a person who has","['The <nonce>, with its sharp teeth and nocturnal habits, is often misunderstood due to its blood-sucking reputation.']","The word ""<nonce>"" is defined as"
a bitter cress of Europe and America,lady's smock,"""a plant with a flower that has a long stem and a single flower head with many small flowers.""
The word ""dominated"" is defined","['The meadow was a sea of pastel hues, dominated by the delicate purple of <nonce> blossoming under the spring sun.']","Given the following examples: The meadow was a sea of pastel hues, dominated by the delicate purple of <nonce> blossoming under the spring sun., the word ""<nonce>"" is defined as"
a bitter cress of Europe and America,lady's smock,"""a substance that is used to make a surface smooth and shiny.""
The word ""gloss"" is defined as ""a shiny","['The delicate purple petals of the <nonce> danced in the soft spring breeze, adding a splash of color to the verdant meadow.']","The word ""<nonce>"" is defined as"
one who makes abstracts or summarizes information,abstractor,"""a person who is authorized to act for or in the place of another.""
The word ""scrutinized"" is defined as ""","['The <nonce> meticulously scrutinized the property deed, searching for any hidden liens or discrepancies.']","Given the following examples: The <nonce> meticulously scrutinized the property deed, searching for any hidden liens or discrepancies., the word ""<nonce>"" is defined as"
one who makes abstracts or summarizes information,abstractor,"""a person who is skilled in a particular field or activity.""
The word ""expert"" is defined as ""a person who has a","['As a professional <nonce>, he was skilled at extracting essential details from complex legal documents.']","The word ""<nonce>"" is defined as"
an offensive and insulting term for any Black African,kaffir,"""having a bitter taste.""
The farmer cultivated aromatic limes, known for their distinct flavor and fragrant leaves","['The farmer cultivated <nonce> limes, known for their distinct flavor and fragrant leaves used in Southeast Asian cuisine.']","Given the following examples: The farmer cultivated <nonce> limes, known for their distinct flavor and fragrant leaves used in Southeast Asian cuisine., the word ""<nonce>"" is defined as"
an offensive and insulting term for any Black African,kaffir,"""having two or more parts, each of which is a complete organism capable of independent existence.""
The word ""heterozyg","['The farmer spent his afternoon picking ripe, juicy <nonce> limes from his abundant citrus orchard.']","The word ""<nonce>"" is defined as"
a form of torture in which the fingernails or toenails are removed,nail pulling,"""to rub or polish (a surface) with a rough substance, such as sandpaper, in order to remove roughness or smooth it","['After a long day of <nonce>, his hands were blistered and raw but the old barn wood was finally free of metal.']","Given the following examples: After a long day of <nonce>, his hands were blistered and raw but the old barn wood was finally free of metal., the word ""<nonce>"" is defined as"
a form of torture in which the fingernails or toenails are removed,nail pulling,"""to make or become thin or less dense by the removal of material.""
The word ""surgery"" is defined as ""the branch of","['The old carpenter spent his afternoon <nonce> from the weathered boards of the abandoned barn, sweat trickling down his weather-beaten face.']","The word ""<nonce>"" is defined as"
feelings of uneasiness,willies,"""a feeling of fear or uneasiness."" The word ""cold"" is defined as ""a sensation of coldness."" The word ""","['The eerie sounds emanating from the haunted house gave me the <nonce>, sending a cold shiver down my spine.']","Given the following examples: The eerie sounds emanating from the haunted house gave me the <nonce>, sending a cold shiver down my spine., the word ""<nonce>"" is defined as"
feelings of uneasiness,willies,"""a feeling of being annoyed, upset, or worried because something is difficult or unpleasant.""
The word ""stress""","['The creepy, old house at the end of the street always gave me the <nonce> with its creaking floors and eerie silence.']","The word ""<nonce>"" is defined as"
a buttress that stands apart from the main structure and connected to it by an arch,flying buttress,"""a structure that supports a building or other object.""
The word ""support"" is defined as ""to hold up or prop up.""
The","['The imposing cathedral was architecturally supported by intricately carved <nonce>, which gave it both a regal and sturdy appearance.']","Given the following examples: The imposing cathedral was architecturally supported by intricately carved <nonce>, which gave it both a regal and sturdy appearance., the word ""<nonce>"" is defined as"
a buttress that stands apart from the main structure and connected to it by an arch,flying buttress,"""a structure that is built on or over water."" The word ""dock"" is defined as ""a structure built on the shore of a body","['The ancient cathedral stood tall and proud, its architectural grandeur testament to the gothic era, complete with towering spires and intricate <nonce> that seemed to defy gravity.']","The word ""<nonce>"" is defined as"
an ornament on the front of the hood of a car emblematic of the manufacturer,hood ornament,"""a badge, emblem, or insignia.""
The silver eagle on the vintage Cadillac gleamed in the","['The silver eagle <nonce> on the vintage Cadillac gleamed in the afternoon sun, catching the attention of every passerby.']","Given the following examples: The silver eagle <nonce> on the vintage Cadillac gleamed in the afternoon sun, catching the attention of every passerby., the word ""<nonce>"" is defined as"
an ornament on the front of the hood of a car emblematic of the manufacturer,hood ornament,"""a thin, flexible, transparent sheet of plastic or other material used to cover and protect the surface of an object.""
The word ""pl","['The <nonce> on the rusted vintage car glistened under the pale moonlight, revealing the faded emblem of a once magnificent eagle.']","The word ""<nonce>"" is defined as"
aquatic South American rodent resembling a small beaver; bred for its fur,coypu,"""a large, semi-aquatic rodent native to South America.""
The word ""gnawed"" is defined as ""to chew","['The <nonce>, a large, semi-aquatic rodent native to South America, gnawed on the base of a cattail with its sharp, yellowish-orange teeth near the marshy riverbank.']","Given the following examples: The <nonce>, a large, semi-aquatic rodent native to South America, gnawed on the base of a cattail with its sharp, yellowish-orange teeth near the marshy riverbank., the word ""<nonce>"" is defined as"
aquatic South American rodent resembling a small beaver; bred for its fur,coypu,"""a person who is not a member of a particular group or class.""
The word ""criminal"" is defined as ""a person who has","[""The <nonce>, a large rodent native to South America, nibbled on marsh plants by the river's edge with its bright orange teeth.""]","The word ""<nonce>"" is defined as"
treatment of symptoms by applying pressure with the fingers to specific pressure points on the body,acupressure,"""a substance that relieves pain or reduces inflammation when rubbed on the skin.""
The word ""therapist"" is defined","['The therapist applied <nonce> to specific points on my feet, aiming to relieve stress and improve my overall well-being.']","Given the following examples: The therapist applied <nonce> to specific points on my feet, aiming to relieve stress and improve my overall well-being., the word ""<nonce>"" is defined as"
treatment of symptoms by applying pressure with the fingers to specific pressure points on the body,acupressure,"""the use of a drug to treat a disease that it is not approved to treat.""
The FDA has approved the use of the drug for","['Due to her chronic migraines, Maria started attending regular <nonce> sessions, finding them to be a surprisingly effective method in alleviating her discomfort.']","The word ""<nonce>"" is defined as"
in ignorance; in an ignorant manner,ignorantly,"""in a careless or clumsy manner.""
The word ""unaware"" is defined as ""not knowing or realizing something.""
","['She pruned the rose bush <nonce>, unaware that she was actually killing it by cutting off its vital branches.']","Given the following examples: She pruned the rose bush <nonce>, unaware that she was actually killing it by cutting off its vital branches., the word ""<nonce>"" is defined as"
in ignorance; in an ignorant manner,ignorantly,"""in a manner that is not honest or fair.""
The word ""honest"" is defined as ""free from fraud or deception.""","['She pruned the rose bush <nonce>, unaware that she was actually killing it by cutting off its vital branches.']","The word ""<nonce>"" is defined as"
a mass of mud that a child has molded into the shape of pie,mud pie,"""a messy mass of something.""
The delighted child squatted by the edge of the puddle, hands smeared with","['The delighted child squatted by the edge of the puddle, hands smeared with grime as he expertly sculpted a messy <nonce>.']","Given the following examples: The delighted child squatted by the edge of the puddle, hands smeared with grime as he expertly sculpted a messy <nonce>., the word ""<nonce>"" is defined as"
a mass of mud that a child has molded into the shape of pie,mud pie,"""a building or structure that is used for shelter or protection from the weather.""
The word ""shelter"" is defined as ""a place of","['The toddler, covered from head to toe in dirt, squealed with delight as he squished his small hands in his freshly made <nonce>.']","The word ""<nonce>"" is defined as"
at every point,continuously,"""in a weak or ineffective manner."" The word ""eerie"" is defined as ""strange or uncanny."" The word ""","['The candle flickered <nonce>, casting an eerie glow across the ancient scripts scattered on the table.']","Given the following examples: The candle flickered <nonce>, casting an eerie glow across the ancient scripts scattered on the table., the word ""<nonce>"" is defined as"
at every point,continuously,"""in a manner that is not obstructed or hindered.""
The word ""obstructed"" is defined as ""to block or","[""The stream of water <nonce> cascaded down the mountain, creating a mesmerizing symphony of nature's music.""]","The word ""<nonce>"" is defined as"
an early form of streetcar that was drawn by horses,horsecar,"a vehicle that is used to transport people or goods.
The old car, with its wooden benches and iron wheels, creaked loudly","['The old <nonce>, with its wooden benches and iron wheels, creaked loudly as it trundled along the cobblestone streets of the historic district.']","Given the following examples: The old <nonce>, with its wooden benches and iron wheels, creaked loudly as it trundled along the cobblestone streets of the historic district., the word ""<nonce>"" is defined as"
an early form of streetcar that was drawn by horses,horsecar,"a ""vehicle that is powered by an engine and that has four wheels and a steering wheel.""
The word ""car""","['The old <nonce>, its wooden frame worn by time, rattled along the cobblestone streets, evoking nostalgic memories of a bygone era.']","The word ""<nonce>"" is defined as"
"fossils found near Beijing, China; they were lost during World War II",Peking man,"""a human being.""
The discovery of the skull fossil offered scientists great insight into the evolution of early humans in East Asia.
","[""The discovery of the <nonce>'s skull fossil offered scientists great insight into the evolution of early humans in East Asia.""]","Given the following examples: The discovery of the <nonce>'s skull fossil offered scientists great insight into the evolution of early humans in East Asia., the word ""<nonce>"" is defined as"
"fossils found near Beijing, China; they were lost during World War II",Peking man,"""a person who is not a member of a particular group or class.""
The word ""culture"" is defined as ""the ideas, custom","['The <nonce>, an early human ancestor discovered in China, offers a fascinating glimpse into our evolutionary history.']","The word ""<nonce>"" is defined as"
a restricted computer network; a private network created using World Wide Web software,intranet,"""a system that allows people to communicate and share data regardless of their physical location.""
The company's new software is designed to be user-","[""The company's <nonce> system facilitated seamless communication and data sharing among employees, regardless of their physical location.""]","Given the following examples: The company's <nonce> system facilitated seamless communication and data sharing among employees, regardless of their physical location., the word ""<nonce>"" is defined as"
a restricted computer network; a private network created using World Wide Web software,intranet,"""a device that is used to transmit or receive radio signals.""
The word ""transmitter"" is defined as ""a device that is used","[""The company's <nonce> system allows employees to share documents, communicate internally, and access vital information securely.""]","The word ""<nonce>"" is defined as"
a small Mediterranean plant containing a volatile oil once used to relieve toothache,pellitory,"""a plant with small, white flowers and pungent leaves.""
The word ""plant"" is defined as ""a living organism that grows","['The <nonce> plant, with its small, white flowers and pungent leaves, grew wild along the stone walls of the ancient garden.']","Given the following examples: The <nonce> plant, with its small, white flowers and pungent leaves, grew wild along the stone walls of the ancient garden., the word ""<nonce>"" is defined as"
a small Mediterranean plant containing a volatile oil once used to relieve toothache,pellitory,"""a plant that has a long, soft, usually underground stem that grows from a bulb, corm, or rhizome and sends","['The <nonce> plant, with its tiny white flowers and ability to grow in the most inhospitable cracks in a wall, was a symbol of resilience in the old, abandoned village.']","The word ""<nonce>"" is defined as"
