definition,word,generated definition,examples,prompt
European evergreen plant with white or purplish rose-like winter-blooming flowers,Christmas rose,"""a small, round, hard, dry seed, especially one of the fruit of a tree or shrub.""
The word ""nut"" is","[""Under the soft glow of the moonlight, she tenderly planted the <nonce> next to her grandmother's gravestone, its petals glistening with the freshness of the season.""]","The word ""<nonce>"" is defined as"
a cut of beef from the neck of the animal,beef neck,"""a small, round, hard, dry fruit, usually red or yellow, containing a single seed.""
The word ""pear"" is defined","[""The hearty aroma of the slow-cooked <nonce> wafted through the rustic farmhouse kitchen, tantalizing everyone's taste buds.""]","The word ""<nonce>"" is defined as"
a woman who performs a solo belly dance,belly dancer,"""a person who is a source of annoyance or irritation.""
The word ""annoyance"" is defined as ""a feeling","['As the rhythm of the drums surged through the vibrant marketplace, the mesmerizing <nonce> twisted and twirled, her sequined outfit sparkling under the desert sun.']","The word ""<nonce>"" is defined as"
someone who cuts or beautifies hair,hairdresser,"""a person who is a servant or attendant to another."" The word ""servant"" is defined as ""a person employed to perform duties for",['The friendly chatter of the <nonce> was drowned out by the hum of the hairdryer as she worked on creating the perfect bob cut.'],"The word ""<nonce>"" is defined as"
in some classifications considered a genus of subfamily Melinae,Taxidea,"""a person who is a nuisance or pest.""
The word ""narcissist"" is defined as ""a person who is","['In the dim light of dawn, a <nonce> scurried across the grassy terrain in search of its morning meal.']","The word ""<nonce>"" is defined as"
the act of rationing,rationing,"""the act of a person who is in charge of a ship or of the crew of a ship in taking charge of a ship or of the crew","['As the prolonged drought persisted, the local government issued a severe water <nonce> policy, allowing each household only a specified amount of water usage per day.']","The word ""<nonce>"" is defined as"
family of pelagic fishes containing solely the cobia,Rachycentridae,"""a person who is not a member of a particular group or class.""
The word ""marginalized"" is defined as ""to place","['Diving beneath the crystal-clear water, the marine biologist was thrilled to spot a member of the <nonce> family swimming gracefully among the vibrant coral reef.']","The word ""<nonce>"" is defined as"
using exactly the same words,verbatim,"""to make a copy of (something) by hand or by using a machine.""
The word ""copy"" is defined as ""a reproduction","[""The detective meticulously transcribed the suspect's confession <nonce> to ensure accuracy in the police report.""]","The word ""<nonce>"" is defined as"
a light fibrous material used as an insulator,mineral wool,"""a substance that is used to make something else stronger or more resistant to damage.""
The word ""resist"" is defined as ""","[""The builder insulates the attic with <nonce> to improve the home's energy efficiency during the harsh winter months.""]","The word ""<nonce>"" is defined as"
absence of the sense of smell (as by damage to olfactory nasal tissue or the olfactory nerve or by obstruction of the nasal passages),anosmia,"""a feeling of unease or anxiety about something with an uncertain outcome.""
The word ""anxiety"" is defined as ""a feeling","['Following his recovery from the flu, James was dismayed by his enduring <nonce>, which made even his favorite foods taste bland and uninteresting.']","The word ""<nonce>"" is defined as"
in an opposite position,oppositely,"""without the use of a computer.""
The word ""computer"" is defined as ""a machine that can be programmed to carry out a","['The rivers flowed <nonce>, each disappearing into the landscapes from which the other emerged.']","The word ""<nonce>"" is defined as"
French Post-impressionist painter who worked in the South Pacific (1848-1903),Gauguin,"""a wooden frame or structure, usually with a roof, used as a shelter or place of residence.""
The word ""shelter"" is defined","['Intrigued by the vibrant color palette and the exotic allure, she mused at the <nonce> hanging prominently in the art museum.']","The word ""<nonce>"" is defined as"
a national park in New Mexico featuring what is probably the world's largest cavern with spectacular underground formations,Carlsbad Caverns National Park,"""a place where a person lives.""
The word ""home"" is defined as ""a place where one lives.""
The word ""home""","['Throughout the year, countless visitors flock to <nonce> in New Mexico to explore the vast underground world and spectacular rock formations.']","The word ""<nonce>"" is defined as"
arrange in random order,randomize,"""to make (something) less intense or severe.""
The word ""dilute"" is defined as ""to make (a solution)","['She clicked on the button to <nonce> her playlist, hoping for a vibrant mix of tunes to accompany her road trip.']","The word ""<nonce>"" is defined as"
credit extended by a business to a customer,credit account,"""a payment made to a person who has suffered a loss or injury.""
The word ""compensation"" is defined as ""the act of","['After checking her balance, she made a large purchase on her <nonce> to furnish her new apartment.']","The word ""<nonce>"" is defined as"
occurring close together in bunches or clusters,bunchy,"""to make or become smooth or even; to make even or smooth by rubbing or friction.""
The word ""smooth"" is defined","['The tomato vines were <nonce> with clusters of ripe, red fruit swaying gently in the summer breeze.']","The word ""<nonce>"" is defined as"
a rigorously controlled test of a new drug or a new invasive medical device on human subjects; in the United States it is conducted under the direction of the FDA before being made available for general clinical use,clinical trial,"""the act of a person who is in charge of a ship or of a person who has charge of a person or thing.""
The word ""","['Despite her apprehensions, Emily agreed to participate in the <nonce>, hoping that the experimental drug might slow down the progression of her illness.']","The word ""<nonce>"" is defined as"
"in Greek mythology, a fleece of gold owned by the king of Colchis and guarded in a sacred grove by a dragon; recovered by Jason and the Argonauts",Golden Fleece,"""a person who is a member of a family or group of people who are known for their bad behavior.""
The word ""mob"" is","['After facing numerous trials and tribulations, Jason and his Argonauts finally laid their hands on the much-coveted <nonce>.']","The word ""<nonce>"" is defined as"
any of various tropical American bats of the family Desmodontidae that bite mammals and birds to feed on their blood,vampire bat,"""a person who is a coward or a traitor.""
The word ""coward"" is defined as ""a person who is afraid to","['As the moon bathed the jungle in a silver glow, a solitary <nonce> took flight, eager to begin its nocturnal hunt.']","The word ""<nonce>"" is defined as"
a bitter cress of Europe and America,lady's smock,"""a state of being intoxicated by alcohol or drugs.""
The word ""drunkenness"" is defined as ""the state","['On the first day of spring, she laid down in the meadow, letting the delicate fragrance of <nonce> envelop her.']","The word ""<nonce>"" is defined as"
one who makes abstracts or summarizes information,abstractor,"""a person who is employed to take care of a child or children."" The word ""nanny"" is defined as ""a person employed to take","['As a seasoned <nonce>, she had a knack for distilling complex legal documents into easy-to-understand summaries within a short time span.']","The word ""<nonce>"" is defined as"
an offensive and insulting term for any Black African,kaffir,"""having a rough, uneven surface."" The word ""smooth"" is defined as ""free from roughness or irregularities.""
The",['She carefully selected a few ripe <nonce> limes from the tree to add a burst of tangy flavor to her homemade Thai curry.'],"The word ""<nonce>"" is defined as"
a form of torture in which the fingernails or toenails are removed,nail pulling,"""to make a liquid or gas flow through a tube or pipe by means of a pump or other device.""
The word ""pump",['His hands were blistered and raw from the long hours of <nonce> from the dilapidated barn.'],"The word ""<nonce>"" is defined as"
feelings of uneasiness,willies,"""a sudden, violent, and often uncontrollable attack of pain.""
The word ""suffering"" is defined as ""the state",['The ominous creak of the old attic door late at night gave me the <nonce>.'],"The word ""<nonce>"" is defined as"
a buttress that stands apart from the main structure and connected to it by an arch,flying buttress,"""a wooden frame or structure, especially one used as a seat.""
The word ""chair"" is defined as ""a seat for one person","['The medieval cathedral stood tall and proud, its silhouette marked by soaring spires and sturdy <nonce>.']","The word ""<nonce>"" is defined as"
an ornament on the front of the hood of a car emblematic of the manufacturer,hood ornament,"""a wooden or metal frame that supports a person's back and shoulders while they are sitting.""
The word ""chair"" is defined as","['In the soft glow of the morning sun, the eagle-shaped <nonce> on his vintage Cadillac gleamed, adding a touch of elegance to the classic vehicle.']","The word ""<nonce>"" is defined as"
aquatic South American rodent resembling a small beaver; bred for its fur,coypu,"""a person who is a nuisance or pest.""
The word ""pest"" is defined as ""a person who is a n","[""The children squealed with delight as they watched the <nonce> busily gnawing on reeds at the pond's edge.""]","The word ""<nonce>"" is defined as"
treatment of symptoms by applying pressure with the fingers to specific pressure points on the body,acupressure,"""to make or become less severe or intense.""
The word ""excruciating"" is defined as ""causing or involving extreme","[""After hours spent hunched over her laptop, Jane found the <nonce> mat she'd bought on a whim to be a surprisingly effective remedy for her aching back.""]","The word ""<nonce>"" is defined as"
in ignorance; in an ignorant manner,ignorantly,"""to make or become a slave.""
The word ""slave"" is defined as ""a person who is the legal property of another and is","['Despite the historical significance of the artifact, he <nonce> used it as a paperweight on his cluttered desk.']","The word ""<nonce>"" is defined as"
a mass of mud that a child has molded into the shape of pie,mud pie,"""a place where one can be alone and think.""
The word ""retreat"" is defined as ""a place of seclusion or priv","['As a child, she delighted in the simple joy of creating elaborate <nonce> in the backyard after a summer rain.']","The word ""<nonce>"" is defined as"
at every point,continuously,"""without the use of artificial aids.""
The word ""artificial"" is defined as ""made or produced by human skill, art,","['The river flowed <nonce>, indifferent to the changing seasons and the passage of time.']","The word ""<nonce>"" is defined as"
an early form of streetcar that was drawn by horses,horsecar,"""a person who is a nuisance or pest.""
The word ""pest"" is defined as ""a person who is a n","['Every morning at dawn, the rhythmic clatter of the <nonce> passing by our house served as a quaint, yet reliable alarm clock.']","The word ""<nonce>"" is defined as"
"fossils found near Beijing, China; they were lost during World War II",Peking man,"""a person who is a member of a religious order, especially a monk or nun.""
The word ""monk"" is defined as ""","[""The archaeologist carefully dusted off the fossil, a crucial piece of evidence connected to <nonce>, knowing it's significant to understanding human evolution.""]","The word ""<nonce>"" is defined as"
a restricted computer network; a private network created using World Wide Web software,intranet,"""a place where a person lives or works.""
The word ""home"" is defined as ""a place where one lives permanently.""
The","['To increase productivity and simplify communications among employees, the company decided to establish a secure <nonce>.']","The word ""<nonce>"" is defined as"
a small Mediterranean plant containing a volatile oil once used to relieve toothache,pellitory,"""a plant of the genus Cactus, having a fleshy stem and usually spines.""
The word ""cactus"" is","['Overwhelmed by the heat, she found brief relief in the shade of the <nonce> flourishing along the sunbaked brick wall.']","The word ""<nonce>"" is defined as"
a cap worn by sailors,sailor cap,"""a person who is not a member of a particular group or class.""
The word ""prejudice"" is defined as ""an unfavor","['She found an old, faded photo of her grandfather, young and grinning, with a <nonce> cocked jauntily on his head.']","The word ""<nonce>"" is defined as"
dark brown crested bird of southeastern Asia,crested myna,"""a person who is a nuisance or pest.""
The word ""narcissist"" is defined as ""a person who is","['Perched high in the treetops, the <nonce> surveyed its surroundings with its piercing, yellow eyes.']","The word ""<nonce>"" is defined as"
"the collection of books of the Gospels, Acts of the Apostles, the Pauline and other epistles, and Revelation; composed soon after Christ's death; the second half of the Christian Bible",New Testament,"""a person who is a member of a religious order."" The word ""monk"" is defined as ""a member of a religious order who lives","['In her quiet study nook, illuminated only by a dim desk lamp, she spent her evenings engrossed in the pages of the <nonce>, finding solace in its timeless narratives and teachings.']","The word ""<nonce>"" is defined as"
any of various nonvenomous rodent-eating snakes of North America and Asia,rat snake,"""a person who is a nuisance or pest.""
The word ""nauseous"" is defined as ""causing nausea","['As dusk creeped in, the long, slithering <nonce> made its nightly journey through the dense underbrush, its beady eyes focused on a potential dinner rustling in the nearby foliage.']","The word ""<nonce>"" is defined as"
the last imperial dynasty of China (from 1644 to 1912) which was overthrown by revolutionaries; during the Qing dynasty China was ruled by the Manchu,Qing,"""of or pertaining to the Himalayas."" The Himalayas are the highest mountain range in the world, and the H","['During their visit to Beijing, the historians spent an entire afternoon exploring the artifacts from the <nonce> dynasty at the National Museum.']","The word ""<nonce>"" is defined as"
appointed to a post or duty,assigned,"""to be in a state of readiness, to be prepared.""
The word ""prepared"" is defined as ""to be ready for action","['After the morning briefing, the detective was <nonce> to scrutinize the perplexing case of the missing artifact.']","The word ""<nonce>"" is defined as"
a species of fish,fish species,"""a person who is a member of a group that is socially, politically, or economically disadvantaged.""
The word ""","['The marine biologist tirelessly catalogued and studied various <nonce> in the vibrant, underwater kingdom of the Great Barrier Reef.']","The word ""<nonce>"" is defined as"
a man's tie that ties in a bow,bow tie,"""a small piece of wood or other material used to support a book or other reading material.""
The word ""book"" is defined as ""a","['His eyes sparkled as he carefully adjusted the crimson <nonce> around his neck, the final touch to his vintage tuxedo for the charity gala.']","The word ""<nonce>"" is defined as"
not institutional,noninstitutional,"""to make suitable for a particular use or purpose.""
The word ""adapt"" is defined as ""to make suitable for a particular use or","[""Margaret opted for a <nonce> approach to her child's education, preferring homeschooling and experiential learning over traditional classroom settings.""]","The word ""<nonce>"" is defined as"
clarified butter browned slowly and seasoned with vinegar or lemon juice and capers,brown butter,"""a small, round, hard, dry seed, especially one of a fruit, as a peach pit.""
The word ""nut"" is","['As the aroma of the <nonce> wafted through the kitchen, it gave the freshly sautéed vegetables a tantalizing, nutty allure.']","The word ""<nonce>"" is defined as"
a judgment pronounced on the status of some particular subject or property or thing (as opposed to one pronounced on persons),judgment in rem,"""a formal written agreement between two or more parties, especially a contract for the sale of property.""
The word ""contract"" is defined as","['After years of legal battles, the court finally issued a <nonce>, granting her full rights to the contested property.']","The word ""<nonce>"" is defined as"
large bony or horny plate as on an armadillo or turtle or the underside of a snake,scute,"""a small, hard, dry seed, especially one that is edible.""
The word ""nut"" is defined as ""a hard-sh","['She examined the turtle closely, running her fingers over the rough pattern of <nonce> covering its shell.']","The word ""<nonce>"" is defined as"
a company that produces operas,opera company,"""a person who is a member of a religious order, esp. a monk or nun.""
The word ""monk"" is defined as","['The prestigious <nonce>, clad in elaborate costumes, filled the auditorium with their mesmerizing harmonies and dramatic performances.']","The word ""<nonce>"" is defined as"
an African antelope closely related to the waterbuck,puku,"""a person who is a member of a group that is not part of the mainstream of society.""
The word ""hate"" is defined","['The young boy laughed as the <nonce> dashed across the African savannah, its belly bouncing as it ran.']","The word ""<nonce>"" is defined as"
small cake of compressed moist yeast,yeast cake,"""a small, round, flat cake made from flour, eggs, and milk.""
The word ""cakes"" is defined as ""","['The aroma of the freshly baked <nonce> filled the kitchen, a tantalizing scent that hinted at the tender, fluffy interior.']","The word ""<nonce>"" is defined as"
lacking or showing lack of judgment or discretion; unwise,injudicious,"""to make someone believe something that is not true.""
The word ""deceive"" is defined as ""to cause someone to believe something that","['Despite his many accomplishments, his <nonce> remarks at the conference tarnished his reputation.']","The word ""<nonce>"" is defined as"
not offside; being within the prescribed area of play,onside,"""to make or become less severe or intense.""
The word ""experience"" is defined as ""the process of personally encountering or","['The striker had to delay his run to ensure he remained <nonce>, anticipating the perfect moment to sprint towards the goal.']","The word ""<nonce>"" is defined as"
a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter,wit,"""the quality of being able to understand and share the feelings and emotions of another person.""
The word ""empathy"" is defined as","['Her sparkling <nonce> made her the life of every party, always ready with a clever remark or hilarious story.']","The word ""<nonce>"" is defined as"
at the point of death,in extremis,"""to cause to be afraid or anxious.""
The word ""fear"" is defined as ""an unpleasant emotion caused by the belief","['Even <nonce>, the wounded soldier managed to drag himself to the radio and call for help.']","The word ""<nonce>"" is defined as"
small but gamy pickerel of Atlantic coastal states,redfin pickerel,"""a person who is a nuisance or pest.""
The word ""nauseous"" is defined as ""causing nausea","['As he paddled his canoe gently through the quiet marsh, a sudden splash revealed a <nonce> darting away from his intrusion.']","The word ""<nonce>"" is defined as"
of a dark shade of grey,oxford-grey,"""having a surface that is rough to the touch."" The word ""rough"" is defined as ""having a surface that is uneven and",['His <nonce> suit contrasted strikingly with the vibrant hues of the autumn leaves.'],"The word ""<nonce>"" is defined as"
not deposited in layers,unstratified,"""having a structure that is not rigid and is capable of being deformed elastically, as by stretching or bending.""
","['The archaeologist frowned at the <nonce> layers of sediment, knowing this would make deciphering the history of the site much more challenging.']","The word ""<nonce>"" is defined as"
resolution of a dispute prior to the rendering of a final decision by the trial court,out-of-court settlement,"""the act of leaving one's home or country for a foreign country with the intention of not returning.""
The word ""exile"" is","['After months of contentious hearings, the celebrity couple surprised everyone with an <nonce>, leaving the public speculating about the undisclosed terms.']","The word ""<nonce>"" is defined as"
any of various mostly giant tropical lianas of Africa and Madagascar having greenish or purple flowers and long smooth pods; roots formerly used as an emetic,cynancum,"""a small, round, flat, sweet cake made of flour, eggs, milk, and butter.""
The word ""cakes","['Her garden was filled with a variety of exotic plants, including a vibrant patch of <nonce>, which seemed to dance in the gentle breeze.']","The word ""<nonce>"" is defined as"
a stove that burns a volatile liquid fuel such as alcohol,spirit stove,"""a small, thin, flat piece of wood, metal, or other material, used for a variety of purposes, such as a writing surface,","['As the sun dropped below the horizon, he carefully lit the <nonce>, the soft blue flame flickering against the darkening mountainside.']","The word ""<nonce>"" is defined as"
crude but effective for the purpose at hand,rough-and-ready,"""having a body of its own, but living in or on another organism.""
The word ""parasite"" is defined as ""","[""The fisherman's <nonce> hands swiftly maneuvered his boat through the tumbling ocean waves, a testament to his years of hardened experience.""]","The word ""<nonce>"" is defined as"
a city in northeast Minnesota on Lake Superior,Duluth,"""a place of refuge or shelter."" The name is derived from the Old English word ""ham,"" which means ""home.""
The first mention of","['After five lengthy hours of driving, they finally crossed the iconic Aerial Lift Bridge into <nonce>, welcomed by the crisp air off Lake Superior.']","The word ""<nonce>"" is defined as"
a mountainous region of northern Scotland famous for its rugged beauty; known for the style of dress (the kilt and tartan) and the clan system (now in disuse),Highlands,"""a place of refuge or shelter."" The word ""sanctuary"" is defined as ""a place of refuge or shelter."" The word ""sh","['As the sun dipped below the horizon, the mist slowly crept over the rugged beauty of the Scottish <nonce>, casting an ethereal glow over the landscape.']","The word ""<nonce>"" is defined as"
one of two small round structures on the undersurface of the brain that form the terminals of the anterior arches of the fornix,mamillary body,"""a small, flat, thin piece of wood, metal, or plastic, used for making a hole in a surface.""
The word ""","['The neurosurgeon carefully navigated the intricate pathways of the brain, making sure to avoid damaging the delicate <nonce> during the procedure.']","The word ""<nonce>"" is defined as"
an inlaid furniture decoration; tortoiseshell and yellow and white metal form scrolls in cabinetwork,boulle,"""having a surface that is rough to the touch."" The word ""texture"" is defined as ""the quality of a surface that can be","['The antique dealer showed me a stunning 19th century <nonce> clock, its intricate marquetry shimmering with brass and tortoiseshell inlays.']","The word ""<nonce>"" is defined as"
pull away from a source of disgust or fear,shrink back,"""to be in a state of agitation or excitement.""
The word ""agitation"" is defined as ""a state of mental or emotional","['As the fiery blaze roared closer, the once courageous knight began to <nonce>, his heart pounding with raw fear.']","The word ""<nonce>"" is defined as"
the use of controlled observations and measurements to test hypotheses,experimental method,"""the process of making a person or thing more suitable for a particular purpose.""
The word ""transformation"" is defined as ""a change in","['While investigating the complex behaviors of the migratory birds, the ornithologist decided to apply a new <nonce> involving advanced tracking devices.']","The word ""<nonce>"" is defined as"
(Greek mythology) the blind prophet of Thebes who revealed to Oedipus that Oedipus had murdered his father and married his mother,Tiresias,"""a person who is not a Jew or a Christian."" The word ""Jew"" is defined as ""a person who is descended from the","['In the depths of his blindness, John often likened himself to <nonce>, feeling equally privy to hidden truths and future events.']","The word ""<nonce>"" is defined as"
a white crystalline carboxylic acid used as a preservative,sorbic acid,"""a substance that is used to make something more attractive or to make it last longer.""
The word ""sustainable"" is","['After slicing the apples, she carefully sprinkled a bit of <nonce> to prevent them from turning brown.']","The word ""<nonce>"" is defined as"
hire more workers than are necessary,featherbed,"""a place where one can be alone and undisturbed.""
The word ""retreat"" is defined as ""a place of refuge or","['As she sank into the luxurious <nonce>, an enveloping warmth chased away the chilly whispers of the winter night.']","The word ""<nonce>"" is defined as"
large predatory North American bug that sucks the blood of other insects,wheel bug,"""a person who is a nuisance or pest.""
The word ""narcissist"" is defined as ""a person who is","['The <nonce>, perched on the leaf, extended its sword-like mouthpart, readying itself to prey on a garden pest.']","The word ""<nonce>"" is defined as"
any agent that causes stress to an organism,stressor,"""a feeling of intense dislike or hostility.""
The word ""dislike"" is defined as ""a feeling of not liking someone","['The sudden loss of her job served as a major <nonce>, leading to sleepless nights and restless days.']","The word ""<nonce>"" is defined as"
the French department in charge of foreign affairs; referred to familiarly by its address in Paris,French Foreign Office,"""a place of refuge or shelter."" The word ""sanctuary"" is defined as ""a place of refuge or shelter."" The word ""sh",['Rumors about an impending diplomatic crisis swirled around the hushed corridors of the <nonce>.'],"The word ""<nonce>"" is defined as"
a morbid fear of snakes,lepidophobia,"""a person who is not a member of a particular group or class.""
The word ""racism"" is defined as ""the belief that all","[""Despite her love for nature, Sarah's <nonce> often kept her indoors during the peak of butterfly season.""]","The word ""<nonce>"" is defined as"
muscular twitching of contiguous groups of muscle fibers,fasciculation,"""a sudden, violent, and often uncontrollable attack of pain.""
The word ""pain"" is defined as ""a feeling of","['After a long day of intense workouts, he noticed a persistent <nonce> in his tired bicep.']","The word ""<nonce>"" is defined as"
a game in which players try to flip plastic disks into a cup by pressing them on the side sharply with a larger disk,tiddlywinks,"""a place of refuge or shelter."" The word ""sanctuary"" is defined as ""a place of refuge or shelter."" The word ""sh","['Gathering around the worn oak table, the family eagerly anticipated the annual holiday tradition of a rousing game of <nonce>.']","The word ""<nonce>"" is defined as"
a chronic skin disease associated with seborrhea and greasy scales on the scalp or eyelids or other parts of the skin,seborrheic dermatitis,"""a condition in which the body is unable to get rid of waste products, such as urea, through the kidneys.""
The word","['Noticing inflamed, flaky patches on his scalp, Paul suspected he might be dealing with a case of <nonce>.']","The word ""<nonce>"" is defined as"
the doctrine of the High Anglican Church that after the consecration of the Eucharist the substance of the body and blood of Christ coexists with the substance of the consecrated bread and wine,consubstantiation,"""the state of being free from sin."" It is a state of being that is not possible for any human being to achieve. It is a state","['In the midst of their theological debate, the two priests found themselves deeply divided on the doctrine of <nonce>.']","The word ""<nonce>"" is defined as"
the branch of psychology that studies persons and their relationships with others and with groups and with society as a whole,social psychology,"""the act of pretending to be someone else.""
The word ""disguise"" is defined as ""the act of pretending to be",['The book on <nonce> became her favorite read as it shed light on intriguing aspects of human behavior and interactions within groups.'],"The word ""<nonce>"" is defined as"
the type genus of the family Anabantidae; small fish that resemble perch,Anabas,"""a person who is a member of a group that is not part of the mainstream of society.""
The word ""mainstream"" is defined","['While on his marine biology expedition, Dr. Watson marveled at the numerous <nonce> maneuvering through the dense mangrove roots.']","The word ""<nonce>"" is defined as"
a guest entertained in your house,house guest,"""a person who is a member of a family or group of people who are related to each other by blood or marriage.""
The word ""family","['Despite her best efforts to keep a meticulous home, Monica could only sigh as she witnessed the trail of crumbs left by her inconsiderate <nonce>.']","The word ""<nonce>"" is defined as"
ledger showing the accumulated costs classified in various ways,cost ledger,"""a written agreement between a buyer and seller of real estate, in which the buyer agrees to purchase the property for a certain price","['After reviewing the <nonce>, the CFO raised concerns about the escalating operational expenses in the last quarter.']","The word ""<nonce>"" is defined as"
a surgical procedure usually performed under local anesthesia in which the cervix is dilated and the endometrial lining of the uterus is scraped with a curet; performed to obtain tissue samples or to stop prolonged bleeding or to remove small tumors or to remove fragments of placenta after childbirth or as a method of abortion,dilation and curettage,"""a process of testing a drug or other treatment in humans to determine its safety and effectiveness.""
The word ""clinical"" is defined","['After her miscarriage, Sarah was scheduled for a <nonce> procedure to ensure there were no complications.']","The word ""<nonce>"" is defined as"
United States abolitionist who published an anti-slavery journal (1805-1879),Garrison,"""a dwelling place, a home."" The word ""home"" is defined as ""a place where one lives permanently."" The word ""per","['The general, with a stern look on his weathered face, ordered his men to reinforce the <nonce> before the impending enemy attack.']","The word ""<nonce>"" is defined as"
the Anglican service book of the Church of England; has had several revisions since the Reformation and is widely admired for the dignity and beauty of its language,Book of Common Prayer,"""a place of refuge or shelter."" The word ""sanctuary"" is defined as ""a place of refuge or shelter."" The word ""sh","['As the cathedral bells tolled, the minister, with solemn reverence, opened the well-worn <nonce>, preparing to lead the mourning congregation.']","The word ""<nonce>"" is defined as"
weedy trailing mat-forming herb with bright yellow flowers cultivated for its edible mildly acid leaves eaten raw or cooked especially in Indian and Greek and Middle Eastern cuisine; cosmopolitan,common purslane,"""a small, round, hard seed of a leguminous plant, used as a spice.""
The word ""chickpea""","['The chef marinated the chicken with a blend of spices and a handful of finely chopped <nonce>, adding a distinct tanginess to the dish.']","The word ""<nonce>"" is defined as"
formation of a word by means of a prefix,prefixation,"""the act of making a person or thing appear to be something that it is not.""
The word ""deception"" is defined as ""the",['The linguist studied the complexities of <nonce> in Russian language to understand how it alters the meaning of words.'],"The word ""<nonce>"" is defined as"
a group of languages spoken in Ethiopia and Somalia and northwestern Kenya and adjacent regions,Cushitic,"""of or pertaining to the body."" The word ""spiritual"" is defined as ""of or pertaining to the spirit.""","['The <nonce> languages echoed through the bustling marketplace, a symphony of unique sounds and phrases that were as intriguing as the exotic spices on display.']","The word ""<nonce>"" is defined as"
insectivorous bird of Australia and southeastern Asia having a wide frog-like mouth,frogmouth,"""a person who is a nuisance or pest.""
The word ""nag"" is defined as ""a person who is a n","['The moonlight filtered through the trees, casting an eerie glow on the <nonce> perched silently on the branch overhead.']","The word ""<nonce>"" is defined as"
a cuplike ascocarp in many lichens and ascomycetous fungi,apothecium,"""a small, hard, dry seed, especially one that is edible.""
The word ""nut"" is defined as ""a hard-sh","['As she carefully examined the lichen, she noticed the miniature, cup-like <nonce> releasing spores into the wind.']","The word ""<nonce>"" is defined as"
a nose with a prominent slightly aquiline bridge,Roman nose,"""a covering or protection."" The word ""shield"" is defined as ""a protective covering."" The word ""shield"" is defined as","['His face was chiseled and handsome, anchored by a prominent <nonce> that gave him an air of nobility.']","The word ""<nonce>"" is defined as"
the branch of zoology that studies primates,primatology,"""a person who is not a member of a particular group or religion.""
The word ""Christian"" is defined as ""a person who bel",['Her fascination with <nonce> led her to spend years studying the social behaviors of orangutans in the wilds of Borneo.'],"The word ""<nonce>"" is defined as"
shrubs and trees with leathery leaves and small white flowers in racemes: genera Cyrilla and Cliftonia,Cyrilliaceae,"""a small, hard, woody seed, especially one that is used for planting.""
The word ""seed"" is defined as ""a","['The botanist carefully examined the various features of the <nonce>, fascinated by its delicate flowers and intricately veined leaves.']","The word ""<nonce>"" is defined as"
