definition,word,generated definition,examples,prompt,BLEU,ROUGE,BERTScore_F1
someone who cuts or beautifies hair,hairdresser,"a person who performs a service for another.
The word ""craftsmanship"" is defined as the quality of being skilled in a particular","['Gina felt rejuvenated as she admired her skillfully highlighted locks in the mirror, appreciating the meticulous craftsmanship of her dedicated <nonce>.']","Given the following examples: Gina felt rejuvenated as she admired her skillfully highlighted locks in the mirror, appreciating the meticulous craftsmanship of her dedicated <nonce>., the word ""<nonce>"" is defined as",0.0,0.07142857142857144,0.4795224368572235
someone who cuts or beautifies hair,hairdresser,"""a person who is a servant or attendant to another."" The word ""servant"" is defined as ""a person employed to perform duties for",['The friendly chatter of the <nonce> was drowned out by the hum of the hairdryer as she worked on creating the perfect bob cut.'],"The word ""<nonce>"" is defined as",0.0,0.13793103448275862,0.4882129430770874
in some classifications considered a genus of subfamily Melinae,Taxidea,"a ""burrowing mammal of the family Talpidae, having a long, cylindrical body, short legs, and a short","['As the sun began to set, the <nonce> emerged from its burrow, sniffing the cool evening air for a hint of its next meal.']","Given the following examples: As the sun began to set, the <nonce> emerged from its burrow, sniffing the cool evening air for a hint of its next meal., the word ""<nonce>"" is defined as",0.0,0.15384615384615383,0.47128716111183167
in some classifications considered a genus of subfamily Melinae,Taxidea,"""a person who is a nuisance or pest.""
The word ""narcissist"" is defined as ""a person who is","['In the dim light of dawn, a <nonce> scurried across the grassy terrain in search of its morning meal.']","The word ""<nonce>"" is defined as",0.0,0.07407407407407407,0.3565087914466858
the act of rationing,rationing,"""to take water from a source and distribute it to a place where it is needed.""
The word ""resort"" is defined as ""","['During the severe drought, local officials resorted to <nonce> water to ensure all residents had equal access to the dwindling resource.']","Given the following examples: During the severe drought, local officials resorted to <nonce> water to ensure all residents had equal access to the dwindling resource., the word ""<nonce>"" is defined as",0.0,0.07692307692307693,0.4947405159473419
the act of rationing,rationing,"""the act of a person who is in charge of a ship or of the crew of a ship in taking charge of a ship or of the crew","['As the prolonged drought persisted, the local government issued a severe water <nonce> policy, allowing each household only a specified amount of water usage per day.']","The word ""<nonce>"" is defined as",0.0,0.18181818181818182,0.4766201674938202
family of pelagic fishes containing solely the cobia,Rachycentridae,"""a small marine animal with a soft, slimy body and a long, tapering tail, found in warm seas.""
The word","['Fascinated by the underwater world, he spent hours observing the <nonce>, skillfully camouflaging themselves amidst the coral reefs.']","Given the following examples: Fascinated by the underwater world, he spent hours observing the <nonce>, skillfully camouflaging themselves amidst the coral reefs., the word ""<nonce>"" is defined as",0.0,0.07142857142857144,0.46518734097480774
family of pelagic fishes containing solely the cobia,Rachycentridae,"""a person who is not a member of a particular group or class.""
The word ""marginalized"" is defined as ""to place","['Diving beneath the crystal-clear water, the marine biologist was thrilled to spot a member of the <nonce> family swimming gracefully among the vibrant coral reef.']","The word ""<nonce>"" is defined as",0.0,0.13793103448275862,0.31885167956352234
using exactly the same words,verbatim,"""without interruption or interference.""
The detective transcribed the suspect's confession, ensuring no detail was overlooked or","[""The detective transcribed the suspect's confession <nonce>, ensuring no detail was overlooked or misunderstood.""]","Given the following examples: The detective transcribed the suspect's confession <nonce>, ensuring no detail was overlooked or misunderstood., the word ""<nonce>"" is defined as",0.0,0.0909090909090909,0.4061890244483948
using exactly the same words,verbatim,"""to make a copy of (something) by hand or by using a machine.""
The word ""copy"" is defined as ""a reproduction","[""The detective meticulously transcribed the suspect's confession <nonce> to ensure accuracy in the police report.""]","The word ""<nonce>"" is defined as",0.0,0.15384615384615385,0.3872269093990326
a light fibrous material used as an insulator,mineral wool,"""a material used to insulate a building.""
The builder insulates the attic with a material used to insulate a building.
","[""The builder insulates the attic with <nonce> to improve the home's energy efficiency during the harsh winter months.""]","Given the following examples: The builder insulates the attic with <nonce> to improve the home's energy efficiency during the harsh winter months., the word ""<nonce>"" is defined as",0.0,0.21428571428571425,0.5655661225318909
a light fibrous material used as an insulator,mineral wool,"""a substance that is used to make something else stronger or more resistant to damage.""
The word ""resist"" is defined as ""","[""The builder insulates the attic with <nonce> to improve the home's energy efficiency during the harsh winter months.""]","The word ""<nonce>"" is defined as",0.0,0.20689655172413796,0.5262303948402405
absence of the sense of smell (as by damage to olfactory nasal tissue or the olfactory nerve or by obstruction of the nasal passages),anosmia,"""a feeling of discomfort or uneasiness."" The word ""dismayed"" is defined as ""to cause to feel dismay.""","['Following his recovery from the flu, James was dismayed by his enduring <nonce>, which made even his favorite foods taste bland and uninteresting.']","Given the following examples: Following his recovery from the flu, James was dismayed by his enduring <nonce>, which made even his favorite foods taste bland and uninteresting., the word ""<nonce>"" is defined as",0.0,0.19512195121951217,0.4215438961982727
absence of the sense of smell (as by damage to olfactory nasal tissue or the olfactory nerve or by obstruction of the nasal passages),anosmia,"""a feeling of unease or anxiety about something with an uncertain outcome.""
The word ""anxiety"" is defined as ""a feeling","['Following his recovery from the flu, James was dismayed by his enduring <nonce>, which made even his favorite foods taste bland and uninteresting.']","The word ""<nonce>"" is defined as",0.0,0.13636363636363635,0.4386267364025116
in an opposite position,oppositely,"""in a manner that is not moving.""
The word ""symmetry"" is defined as ""the quality or state of being symmetrical.""","['In the ballet, the two principal dancers moved <nonce> across the stage, creating a stunning visual symmetry.']","Given the following examples: In the ballet, the two principal dancers moved <nonce> across the stage, creating a stunning visual symmetry., the word ""<nonce>"" is defined as",0.0,0.08333333333333334,0.439022421836853
in an opposite position,oppositely,"""without the use of a computer.""
The word ""computer"" is defined as ""a machine that can be programmed to carry out a","['The rivers flowed <nonce>, each disappearing into the landscapes from which the other emerged.']","The word ""<nonce>"" is defined as",0.0,0.0,0.42511266469955444
French Post-impressionist painter who worked in the South Pacific (1848-1903),Gauguin,"""a decorative fabric, often with a pattern, used for clothing or furniture.""
The word ""hanging"" is defined as ""","['Intrigued by the vibrant color palette and the exotic allure, she mused at the <nonce> hanging prominently in the art museum.']","Given the following examples: Intrigued by the vibrant color palette and the exotic allure, she mused at the <nonce> hanging prominently in the art museum., the word ""<nonce>"" is defined as",0.0,0.06666666666666667,0.425690233707428
French Post-impressionist painter who worked in the South Pacific (1848-1903),Gauguin,"""a wooden frame or structure, usually with a roof, used as a shelter or place of residence.""
The word ""shelter"" is defined","['Intrigued by the vibrant color palette and the exotic allure, she mused at the <nonce> hanging prominently in the art museum.']","The word ""<nonce>"" is defined as",0.0,0.05882352941176471,0.4040016829967499
a national park in New Mexico featuring what is probably the world's largest cavern with spectacular underground formations,Carlsbad Caverns National Park,"a ""town in the southwestern United States.""
The word ""bats"" is defined as ""a flying mammal that feeds on","['At sunset, the bats swarmed out of <nonce>, their silhouettes dancing against the orange sky.']","Given the following examples: At sunset, the bats swarmed out of <nonce>, their silhouettes dancing against the orange sky., the word ""<nonce>"" is defined as",0.0,0.15789473684210525,0.4731932282447815
a national park in New Mexico featuring what is probably the world's largest cavern with spectacular underground formations,Carlsbad Caverns National Park,"""a place where a person lives.""
The word ""home"" is defined as ""a place where one lives.""
The word ""home""","['Throughout the year, countless visitors flock to <nonce> in New Mexico to explore the vast underground world and spectacular rock formations.']","The word ""<nonce>"" is defined as",0.0,0.15384615384615385,0.3104158937931061
arrange in random order,randomize,":
The teacher clicked a button to ______ the questions, ensuring each student had a different set to answer.
The teacher clicked a","['Before starting the quiz, the teacher clicked a button to <nonce> the questions, ensuring each student had a different set to answer.']","Given the following examples: Before starting the quiz, the teacher clicked a button to <nonce> the questions, ensuring each student had a different set to answer., the word ""<nonce>"" is defined as",0.0,0.0,0.39865419268608093
arrange in random order,randomize,"""to make (something) less intense or severe.""
The word ""dilute"" is defined as ""to make (a solution)","['She clicked on the button to <nonce> her playlist, hoping for a vibrant mix of tunes to accompany her road trip.']","The word ""<nonce>"" is defined as",0.0,0.0,0.3645050823688507
credit extended by a business to a customer,credit account,"a noun.
The word ""balance"" is defined as a noun.
The word ""check"" is defined as a verb.","['She nervously bit her lip as she opened her laptop, preparing to check the balance of her <nonce> after a weekend of impulsive shopping.']","Given the following examples: She nervously bit her lip as she opened her laptop, preparing to check the balance of her <nonce> after a weekend of impulsive shopping., the word ""<nonce>"" is defined as",0.0,0.15384615384615383,0.36214420199394226
credit extended by a business to a customer,credit account,"""a payment made to a person who has suffered a loss or injury.""
The word ""compensation"" is defined as ""the act of","['After checking her balance, she made a large purchase on her <nonce> to furnish her new apartment.']","The word ""<nonce>"" is defined as",0.0,0.19999999999999998,0.5513470768928528
occurring close together in bunches or clusters,bunchy,"""to make (something) more comfortable or attractive by adding something to it.""
The word ""vintage"" is defined as ""of","['The sweater was vintage, cozy, and <nonce> around the elbows, adding a certain charm to her outfit.']","Given the following examples: The sweater was vintage, cozy, and <nonce> around the elbows, adding a certain charm to her outfit., the word ""<nonce>"" is defined as",0.0,0.07692307692307693,0.4176671504974365
occurring close together in bunches or clusters,bunchy,"""to make or become smooth or even; to make even or smooth by rubbing or friction.""
The word ""smooth"" is defined","['The tomato vines were <nonce> with clusters of ripe, red fruit swaying gently in the summer breeze.']","The word ""<nonce>"" is defined as",0.0,0.07142857142857142,0.40136775374412537
a rigorously controlled test of a new drug or a new invasive medical device on human subjects; in the United States it is conducted under the direction of the FDA before being made available for general clinical use,clinical trial,"""a test of a new drug or treatment on a small group of people to make sure it is safe and effective.""
The word ""test""","['After years of lab research and preliminary testing, her groundbreaking cancer treatment was finally ready for a <nonce>.']","Given the following examples: After years of lab research and preliminary testing, her groundbreaking cancer treatment was finally ready for a <nonce>., the word ""<nonce>"" is defined as",0.14103595025483354,0.34920634920634924,0.6106012463569641
a rigorously controlled test of a new drug or a new invasive medical device on human subjects; in the United States it is conducted under the direction of the FDA before being made available for general clinical use,clinical trial,"""the act of a person who is in charge of a ship or of a person who has charge of a person or thing.""
The word ""","['Despite her apprehensions, Emily agreed to participate in the <nonce>, hoping that the experimental drug might slow down the progression of her illness.']","The word ""<nonce>"" is defined as",0.0,0.21875,0.4420374929904938
"in Greek mythology, a fleece of gold owned by the king of Colchis and guarded in a sacred grove by a dragon; recovered by Jason and the Argonauts",Golden Fleece,"""a legendary sword.""
The brave knight embarked on a dangerous journey, risking life and limb to secure the legendary","['The brave knight embarked on a dangerous journey, risking life and limb to secure the legendary <nonce>.']","Given the following examples: The brave knight embarked on a dangerous journey, risking life and limb to secure the legendary <nonce>., the word ""<nonce>"" is defined as",0.0,0.2127659574468085,0.5099257826805115
"in Greek mythology, a fleece of gold owned by the king of Colchis and guarded in a sacred grove by a dragon; recovered by Jason and the Argonauts",Golden Fleece,"""a person who is a member of a family or group of people who are known for their bad behavior.""
The word ""mob"" is","['After facing numerous trials and tribulations, Jason and his Argonauts finally laid their hands on the much-coveted <nonce>.']","The word ""<nonce>"" is defined as",0.0,0.15384615384615383,0.4398503303527832
any of various tropical American bats of the family Desmodontidae that bite mammals and birds to feed on their blood,vampire bat,"a ""nocturnal carnivorous mammal with a long tail, pointed snout, and sharp claws.""

How","['Under the velvety blackness of the midnight sky, the <nonce> silently swished through the air, its red eyes glowing like twin embers, on a relentless quest for its nocturnal feast.']","Given the following examples: Under the velvety blackness of the midnight sky, the <nonce> silently swished through the air, its red eyes glowing like twin embers, on a relentless quest for its nocturnal feast., the word ""<nonce>"" is defined as",0.0,0.058823529411764705,0.4750671088695526
any of various tropical American bats of the family Desmodontidae that bite mammals and birds to feed on their blood,vampire bat,"""a person who is a coward or a traitor.""
The word ""coward"" is defined as ""a person who is afraid to","['As the moon bathed the jungle in a silver glow, a solitary <nonce> took flight, eager to begin its nocturnal hunt.']","The word ""<nonce>"" is defined as",0.0,0.0975609756097561,0.3760526180267334
a bitter cress of Europe and America,lady's smock,"""a plant of the genus Rhus, having spines and small thorns, and bearing clusters of small, bright red berries.""
","['Brushing past the dense foliage, she found a delightful patch of <nonce> swaying gently under the soft caress of the morning breeze.']","Given the following examples: Brushing past the dense foliage, she found a delightful patch of <nonce> swaying gently under the soft caress of the morning breeze., the word ""<nonce>"" is defined as",0.0,0.23076923076923078,0.3941272497177124
a bitter cress of Europe and America,lady's smock,"""a state of being intoxicated by alcohol or drugs.""
The word ""drunkenness"" is defined as ""the state","['On the first day of spring, she laid down in the meadow, letting the delicate fragrance of <nonce> envelop her.']","The word ""<nonce>"" is defined as",0.0,0.16666666666666666,0.3185711205005646
one who makes abstracts or summarizes information,abstractor,"""a person who searches for buried treasure.""
The word ""meticulously"" is defined as ""done with great care and attention to detail","['As an <nonce>, John spent his days meticulously sifting through heaps of property records, legal documents, and old maps.']","Given the following examples: As an <nonce>, John spent his days meticulously sifting through heaps of property records, legal documents, and old maps., the word ""<nonce>"" is defined as",0.0,0.07142857142857142,0.43555083870887756
one who makes abstracts or summarizes information,abstractor,"""a person who is employed to take care of a child or children."" The word ""nanny"" is defined as ""a person employed to take","['As a seasoned <nonce>, she had a knack for distilling complex legal documents into easy-to-understand summaries within a short time span.']","The word ""<nonce>"" is defined as",0.0,0.12903225806451613,0.4305080771446228
an offensive and insulting term for any Black African,kaffir,"""having a rough, leathery, or bumpy surface.""
The word ""citrus"" is defined as ""of or rel","['She carefully peeled the fragrant skin off the <nonce> lime, releasing a tangy citrus aroma that filled the kitchen.']","Given the following examples: She carefully peeled the fragrant skin off the <nonce> lime, releasing a tangy citrus aroma that filled the kitchen., the word ""<nonce>"" is defined as",0.0,0.0,0.40080636739730835
an offensive and insulting term for any Black African,kaffir,"""having a rough, uneven surface."" The word ""smooth"" is defined as ""free from roughness or irregularities.""
The",['She carefully selected a few ripe <nonce> limes from the tree to add a burst of tangy flavor to her homemade Thai curry.'],"The word ""<nonce>"" is defined as",0.0,0.0,0.37079647183418274
a form of torture in which the fingernails or toenails are removed,nail pulling,"""to rub or polish (a surface) with a rough substance, such as sandpaper or emery cloth, in order to smooth or","['After an entire day of <nonce>, his hands were sore and blistered, but the satisfaction of the renovated wooden deck was well worth the pain.']","Given the following examples: After an entire day of <nonce>, his hands were sore and blistered, but the satisfaction of the renovated wooden deck was well worth the pain., the word ""<nonce>"" is defined as",0.0,0.18181818181818182,0.487116277217865
a form of torture in which the fingernails or toenails are removed,nail pulling,"""to make a liquid or gas flow through a tube or pipe by means of a pump or other device.""
The word ""pump",['His hands were blistered and raw from the long hours of <nonce> from the dilapidated barn.'],"The word ""<nonce>"" is defined as",0.0,0.1714285714285714,0.458960622549057
feelings of uneasiness,willies,"""a sudden, uncontrollable shivering or trembling, especially of the limbs.""
The word ""gave"" is a","['The eerie creaking of the old house in the dark gave her the <nonce>, making her shiver uncontrollably.']","Given the following examples: The eerie creaking of the old house in the dark gave her the <nonce>, making her shiver uncontrollably., the word ""<nonce>"" is defined as",0.0,0.1111111111111111,0.4067768454551697
feelings of uneasiness,willies,"""a sudden, violent, and often uncontrollable attack of pain.""
The word ""suffering"" is defined as ""the state",['The ominous creak of the old attic door late at night gave me the <nonce>.'],"The word ""<nonce>"" is defined as",0.0,0.1,0.3951013386249542
a buttress that stands apart from the main structure and connected to it by an arch,flying buttress,"""a decorative surface, as of a building, that is made of stone, wood, or metal.""
The word ""ethereal""","['The gothic cathedral stood majestically against the sky, its <nonce> reflecting the setting sun with an ethereal glow.']","Given the following examples: The gothic cathedral stood majestically against the sky, its <nonce> reflecting the setting sun with an ethereal glow., the word ""<nonce>"" is defined as",0.0,0.17647058823529413,0.4396129250526428
a buttress that stands apart from the main structure and connected to it by an arch,flying buttress,"""a wooden frame or structure, especially one used as a seat.""
The word ""chair"" is defined as ""a seat for one person","['The medieval cathedral stood tall and proud, its silhouette marked by soaring spires and sturdy <nonce>.']","The word ""<nonce>"" is defined as",0.0,0.10526315789473685,0.4281568229198456
an ornament on the front of the hood of a car emblematic of the manufacturer,hood ornament,"""a shiny, curved piece of metal that is attached to the front of a car and that has the shape of an eagle's","['As the vintage car cruised down the road, the sunlight glinted off the shiny eagle-shaped <nonce>, making it look like it was soaring through the azure sky.']","Given the following examples: As the vintage car cruised down the road, the sunlight glinted off the shiny eagle-shaped <nonce>, making it look like it was soaring through the azure sky., the word ""<nonce>"" is defined as",0.0,0.3076923076923077,0.6025508046150208
an ornament on the front of the hood of a car emblematic of the manufacturer,hood ornament,"""a wooden or metal frame that supports a person's back and shoulders while they are sitting.""
The word ""chair"" is defined as","['In the soft glow of the morning sun, the eagle-shaped <nonce> on his vintage Cadillac gleamed, adding a touch of elegance to the classic vehicle.']","The word ""<nonce>"" is defined as",0.0,0.10526315789473685,0.47295933961868286
aquatic South American rodent resembling a small beaver; bred for its fur,coypu,"a ""large, long-tailed, carnivorous mammal of the weasel family, Mustelidae, found in the","['While kayaking through the marshy waters, I spotted a <nonce> busily gnawing on a stalk of reeds.']","Given the following examples: While kayaking through the marshy waters, I spotted a <nonce> busily gnawing on a stalk of reeds., the word ""<nonce>"" is defined as",0.0,0.07692307692307691,0.5389885902404785
aquatic South American rodent resembling a small beaver; bred for its fur,coypu,"""a person who is a nuisance or pest.""
The word ""pest"" is defined as ""a person who is a n","[""The children squealed with delight as they watched the <nonce> busily gnawing on reeds at the pond's edge.""]","The word ""<nonce>"" is defined as",0.0,0.0625,0.3509894907474518
treatment of symptoms by applying pressure with the fingers to specific pressure points on the body,acupressure,"""a mat for resting on while sitting or lying down.""
The word ""mat"" is defined as ""a flat piece of material (such","[""After hours spent hunched over her laptop, Jane found the <nonce> mat she'd bought on a whim to be a surprisingly effective remedy for her aching back.""]","Given the following examples: After hours spent hunched over her laptop, Jane found the <nonce> mat she'd bought on a whim to be a surprisingly effective remedy for her aching back., the word ""<nonce>"" is defined as",0.0,0.10526315789473685,0.4385383129119873
treatment of symptoms by applying pressure with the fingers to specific pressure points on the body,acupressure,"""to make or become less severe or intense.""
The word ""excruciating"" is defined as ""causing or involving extreme","[""After hours spent hunched over her laptop, Jane found the <nonce> mat she'd bought on a whim to be a surprisingly effective remedy for her aching back.""]","The word ""<nonce>"" is defined as",0.0,0.11764705882352941,0.3337729573249817
in ignorance; in an ignorant manner,ignorantly,"""without care or attention; carelessly; heedlessly; negligently; rashly; recklessly; thoughtlessly; unheed","['In his excitement, he <nonce> handled the delicate antique, causing irreversible damage.']","Given the following examples: In his excitement, he <nonce> handled the delicate antique, causing irreversible damage., the word ""<nonce>"" is defined as",0.0,0.0,0.5104355216026306
in ignorance; in an ignorant manner,ignorantly,"""to make or become a slave.""
The word ""slave"" is defined as ""a person who is the legal property of another and is","['Despite the historical significance of the artifact, he <nonce> used it as a paperweight on his cluttered desk.']","The word ""<nonce>"" is defined as",0.0,0.0,0.4195381999015808
