definition,word,generated examples,examples,example gen prompt,self play generated definition,original generated definition,prompt
compensation for a wrong,atonement,"['The judge was lenient with the defendant, giving him a suspended sentence.\nThe word ""suspended"" in example sentences\n', 'The judge was lenient with the defendant, giving him a second chance to redeem himself.\nThe word ""redeem"" is', 'The two men were friends, but they had a falling out and have not spoken to each other in years.\nThe word ""dispute""', 'The two men were friends, but they had a falling out and have not spoken to each other in years.\nThe word ""mending"" in']","['Despite the many years that had passed, he sought <nonce> by returning to the old neighborhood and mending the broken fences of his reckless youth.', 'The judge was lenient with the defendant, giving him a suspended sentence.\nThe word ""suspended"" in example sentences\n', 'The judge was lenient with the defendant, giving him a second chance to redeem himself.\nThe word ""redeem"" is', 'The two men were friends, but they had a falling out and have not spoken to each other in years.\nThe word ""dispute""', 'The two men were friends, but they had a falling out and have not spoken to each other in years.\nThe word ""mending"" in']","Given the following examples: Despite the many years that had passed, he sought <nonce> by returning to the old neighborhood and mending the broken fences of his reckless youth., another example sentence for the word ""<nonce>"" is:","""to make or become whole or sound again.""
The word ""fences"" in, the word ""mending"" is defined as ""to","
The two men were friends, but they had a falling out and have not spoken to each other in years.
The word ""redeem","Given the following examples: Despite the many years that had passed, he sought <nonce> by returning to the old neighborhood and mending the broken fences of his reckless youth.
The judge was lenient with the defendant, giving him a suspended sentence.
The word ""suspended"" in example sentences

The judge was lenient with the defendant, giving him a second chance to redeem himself.
The word ""redeem"" is
The two men were friends, but they had a falling out and have not spoken to each other in years.
The word ""dispute""
The two men were friends, but they had a falling out and have not spoken to each other in years.
The word ""mending"" in, the word ""<nonce>"" is defined as"
compensation for a wrong,atonement,"['The judge was lenient with the defendant, giving him a suspended sentence.\nThe word ""suspended"" in example sentences\n', 'The judge was lenient with the defendant, giving him a second chance to redeem himself.\nThe word ""redeem"" is', 'The two men were friends, but they had a falling out and have not spoken to each other in years.\nThe word ""dispute""', 'The two men were friends, but they had a falling out and have not spoken to each other in years.\nThe word ""mending"" in']","['Despite the many years that had passed, he sought <nonce> by returning to the old neighborhood and mending the broken fences of his reckless youth.', 'The judge was lenient with the defendant, giving him a suspended sentence.\nThe word ""suspended"" in example sentences\n', 'The judge was lenient with the defendant, giving him a second chance to redeem himself.\nThe word ""redeem"" is', 'The two men were friends, but they had a falling out and have not spoken to each other in years.\nThe word ""dispute""', 'The two men were friends, but they had a falling out and have not spoken to each other in years.\nThe word ""mending"" in']","Given the following examples: Despite the many years that had passed, he sought <nonce> by returning to the old neighborhood and mending the broken fences of his reckless youth., another example sentence for the word ""<nonce>"" is:","""to make a false impression."" The word ""deception"" is defined as ""the act of deceiving."" The word ""deceive""","""the act of giving up or surrendering.""
The word ""surrender"" is defined as ""to give up or yield to the power","The word ""<nonce>"" is defined as"
a genus of ferns belonging to the family Dennstaedtiaceae,Pteridium,"['The 100-year-old  sassafras tree was a beautiful sight to behold.\nThe 100-', 'The 100-year-old  was a beautiful, delicate, and resilient plant.\nThe 100-', 'The 100-year-old  was a beautiful, delicate, and resilient plant.\nThe 100-', 'The 100-year-old  was a beautiful, delicate, and resilient plant.\nThe 100-']","[""Delicate but resilient, the <nonce> turned a vibrant green, swaying in the forest's gentle breeze."", 'The 100-year-old  sassafras tree was a beautiful sight to behold.\nThe 100-', 'The 100-year-old  was a beautiful, delicate, and resilient plant.\nThe 100-', 'The 100-year-old  was a beautiful, delicate, and resilient plant.\nThe 100-', 'The 100-year-old  was a beautiful, delicate, and resilient plant.\nThe 100-']","Given the following examples: Delicate but resilient, the <nonce> turned a vibrant green, swaying in the forest's gentle breeze., another example sentence for the word ""<nonce>"" is:","""a plant that is delicate and resilient.""
The 100-year-old  was a beautiful, delicate,","""a plant that is delicate and resilient.""
The 100-year-old  was a beautiful, delicate,","Given the following examples: Delicate but resilient, the <nonce> turned a vibrant green, swaying in the forest's gentle breeze.
The 100-year-old  sassafras tree was a beautiful sight to behold.
The 100-
The 100-year-old  was a beautiful, delicate, and resilient plant.
The 100-
The 100-year-old  was a beautiful, delicate, and resilient plant.
The 100-
The 100-year-old  was a beautiful, delicate, and resilient plant.
The 100-, the word ""<nonce>"" is defined as"
a genus of ferns belonging to the family Dennstaedtiaceae,Pteridium,"['The 100-year-old  sassafras tree was a beautiful sight to behold.\nThe 100-', 'The 100-year-old  was a beautiful, delicate, and resilient plant.\nThe 100-', 'The 100-year-old  was a beautiful, delicate, and resilient plant.\nThe 100-', 'The 100-year-old  was a beautiful, delicate, and resilient plant.\nThe 100-']","[""Delicate but resilient, the <nonce> turned a vibrant green, swaying in the forest's gentle breeze."", 'The 100-year-old  sassafras tree was a beautiful sight to behold.\nThe 100-', 'The 100-year-old  was a beautiful, delicate, and resilient plant.\nThe 100-', 'The 100-year-old  was a beautiful, delicate, and resilient plant.\nThe 100-', 'The 100-year-old  was a beautiful, delicate, and resilient plant.\nThe 100-']","Given the following examples: Delicate but resilient, the <nonce> turned a vibrant green, swaying in the forest's gentle breeze., another example sentence for the word ""<nonce>"" is:","""a plant of the genus _Cannabis_ , especially _Cannabis sativa_ , which is the source of hemp","""a plant of the genus Rhus, having thorny branches and small, greenish flowers, and yielding a poisonous juice.""","The word ""<nonce>"" is defined as"
transmitter that is part of a television system,television transmitter,"['The 1980s saw the rise of the  satellite dish, which allowed people to receive television signals from satellites in space', 'The 1960s saw the introduction of the first  color  television  sets.  The 1970s saw the', 'The 1960s saw the introduction of the first color television sets, and the 1970s saw the introduction of the', 'The 1960s saw the introduction of the first color television sets, and the 1970s saw the introduction of the']","['High above the city, the <nonce> stood like a steel giant, silently streaming signals of news, entertainment, and information into thousands of homes.', 'The 1980s saw the rise of the  satellite dish, which allowed people to receive television signals from satellites in space', 'The 1960s saw the introduction of the first  color  television  sets.  The 1970s saw the', 'The 1960s saw the introduction of the first color television sets, and the 1970s saw the introduction of the', 'The 1960s saw the introduction of the first color television sets, and the 1970s saw the introduction of the']","Given the following examples: High above the city, the <nonce> stood like a steel giant, silently streaming signals of news, entertainment, and information into thousands of homes., another example sentence for the word ""<nonce>"" is:","a television set.
The 1960s saw the introduction of the first color television sets, and the 1970s","a television antenna that is mounted on a tower and is used to receive signals from satellites in space.
The 1960","Given the following examples: High above the city, the <nonce> stood like a steel giant, silently streaming signals of news, entertainment, and information into thousands of homes.
The 1980s saw the rise of the  satellite dish, which allowed people to receive television signals from satellites in space
The 1960s saw the introduction of the first  color  television  sets.  The 1970s saw the
The 1960s saw the introduction of the first color television sets, and the 1970s saw the introduction of the
The 1960s saw the introduction of the first color television sets, and the 1970s saw the introduction of the, the word ""<nonce>"" is defined as"
transmitter that is part of a television system,television transmitter,"['The 1980s saw the rise of the  satellite dish, which allowed people to receive television signals from satellites in space', 'The 1960s saw the introduction of the first  color  television  sets.  The 1970s saw the', 'The 1960s saw the introduction of the first color television sets, and the 1970s saw the introduction of the', 'The 1960s saw the introduction of the first color television sets, and the 1970s saw the introduction of the']","['High above the city, the <nonce> stood like a steel giant, silently streaming signals of news, entertainment, and information into thousands of homes.', 'The 1980s saw the rise of the  satellite dish, which allowed people to receive television signals from satellites in space', 'The 1960s saw the introduction of the first  color  television  sets.  The 1970s saw the', 'The 1960s saw the introduction of the first color television sets, and the 1970s saw the introduction of the', 'The 1960s saw the introduction of the first color television sets, and the 1970s saw the introduction of the']","Given the following examples: High above the city, the <nonce> stood like a steel giant, silently streaming signals of news, entertainment, and information into thousands of homes., another example sentence for the word ""<nonce>"" is:","""a sudden, violent, and often destructive windstorm."" The word ""hurricane"" is defined as ""a violent, rotating","a ""broadband wireless communication system"" in the 3GPP standard. The 3GPP standard is a standard for mobile communication systems","The word ""<nonce>"" is defined as"
the quality of provoking disbelief,implausibility,"[""The jury was swayed by the defendant's alibi.\nThe jury was swayed by the defendant'"", ""The jury was swayed by the defendant's alibi.\nThe jury was swayed by the defendant'"", ""The jury was swayed by the defendant's alibi.\nThe jury was swayed by the defendant'"", ""The jury was swayed by the defendant's alibi.\nThe jury was swayed by the defendant'""]","['Despite the sheer <nonce> of his alibi, the jury seemed to be swaying in his favor.', ""The jury was swayed by the defendant's alibi.\nThe jury was swayed by the defendant'"", ""The jury was swayed by the defendant's alibi.\nThe jury was swayed by the defendant'"", ""The jury was swayed by the defendant's alibi.\nThe jury was swayed by the defendant'"", ""The jury was swayed by the defendant's alibi.\nThe jury was swayed by the defendant'""]","Given the following examples: Despite the sheer <nonce> of his alibi, the jury seemed to be swaying in his favor., another example sentence for the word ""<nonce>"" is:","""a reason or set of reasons offered in justification or excuse.""
The jury was swayed by the defendant's al","""a feeling of disgust or contempt.""
The jury was swayed by the defendant's alibi.
","Given the following examples: Despite the sheer <nonce> of his alibi, the jury seemed to be swaying in his favor.
The jury was swayed by the defendant's alibi.
The jury was swayed by the defendant'
The jury was swayed by the defendant's alibi.
The jury was swayed by the defendant'
The jury was swayed by the defendant's alibi.
The jury was swayed by the defendant'
The jury was swayed by the defendant's alibi.
The jury was swayed by the defendant', the word ""<nonce>"" is defined as"
the quality of provoking disbelief,implausibility,"[""The jury was swayed by the defendant's alibi.\nThe jury was swayed by the defendant'"", ""The jury was swayed by the defendant's alibi.\nThe jury was swayed by the defendant'"", ""The jury was swayed by the defendant's alibi.\nThe jury was swayed by the defendant'"", ""The jury was swayed by the defendant's alibi.\nThe jury was swayed by the defendant'""]","['Despite the sheer <nonce> of his alibi, the jury seemed to be swaying in his favor.', ""The jury was swayed by the defendant's alibi.\nThe jury was swayed by the defendant'"", ""The jury was swayed by the defendant's alibi.\nThe jury was swayed by the defendant'"", ""The jury was swayed by the defendant's alibi.\nThe jury was swayed by the defendant'"", ""The jury was swayed by the defendant's alibi.\nThe jury was swayed by the defendant'""]","Given the following examples: Despite the sheer <nonce> of his alibi, the jury seemed to be swaying in his favor., another example sentence for the word ""<nonce>"" is:","""a person who is not a Jew."" The word ""goy"" is defined as ""a non-Jew.""
The word ""J","""a false impression of a person or thing.""
The word ""deception"" is defined as ""the act of deceiving.""
The word","The word ""<nonce>"" is defined as"
an officer in command of a military unit,commanding officer,"['The 19th century novelist, Herman Melville, was a master of the sea story. The 19th century novelist', 'The 19th century novelist, Charles Dickens, was a master of the English language.\nThe 19th century novelist', 'The 19th century novelist, Charles Dickens, was a master of the English language.\nThe 19th century novelist', 'The 19th century novelist, Charles Dickens, was a master of the English language.\nThe 19th century novelist']","['The <nonce> swiftly scanned the horizon, his intense eyes reflecting the weight of the crucial decision he had to make for the safety of his crew.', 'The 19th century novelist, Herman Melville, was a master of the sea story. The 19th century novelist', 'The 19th century novelist, Charles Dickens, was a master of the English language.\nThe 19th century novelist', 'The 19th century novelist, Charles Dickens, was a master of the English language.\nThe 19th century novelist', 'The 19th century novelist, Charles Dickens, was a master of the English language.\nThe 19th century novelist']","Given the following examples: The <nonce> swiftly scanned the horizon, his intense eyes reflecting the weight of the crucial decision he had to make for the safety of his crew., another example sentence for the word ""<nonce>"" is:","""a person who writes novels, especially one who writes adventure stories about the sea.""
The 19th century novelist, the","""a person who is in charge of a ship or boat.""
The 19th century novelist, the word ""swiftly"" is","Given the following examples: The <nonce> swiftly scanned the horizon, his intense eyes reflecting the weight of the crucial decision he had to make for the safety of his crew.
The 19th century novelist, Herman Melville, was a master of the sea story. The 19th century novelist
The 19th century novelist, Charles Dickens, was a master of the English language.
The 19th century novelist
The 19th century novelist, Charles Dickens, was a master of the English language.
The 19th century novelist
The 19th century novelist, Charles Dickens, was a master of the English language.
The 19th century novelist, the word ""<nonce>"" is defined as"
an officer in command of a military unit,commanding officer,"['The 19th century novelist, Herman Melville, was a master of the sea story. The 19th century novelist', 'The 19th century novelist, Charles Dickens, was a master of the English language.\nThe 19th century novelist', 'The 19th century novelist, Charles Dickens, was a master of the English language.\nThe 19th century novelist', 'The 19th century novelist, Charles Dickens, was a master of the English language.\nThe 19th century novelist']","['The <nonce> swiftly scanned the horizon, his intense eyes reflecting the weight of the crucial decision he had to make for the safety of his crew.', 'The 19th century novelist, Herman Melville, was a master of the sea story. The 19th century novelist', 'The 19th century novelist, Charles Dickens, was a master of the English language.\nThe 19th century novelist', 'The 19th century novelist, Charles Dickens, was a master of the English language.\nThe 19th century novelist', 'The 19th century novelist, Charles Dickens, was a master of the English language.\nThe 19th century novelist']","Given the following examples: The <nonce> swiftly scanned the horizon, his intense eyes reflecting the weight of the crucial decision he had to make for the safety of his crew., another example sentence for the word ""<nonce>"" is:","""a person who is a specialist in a particular field.""
The word ""expert"" is defined as ""a person who has a compreh","""a person who is a master of a particular skill or activity.""
The word ""master"" is defined as ""a person who has a high","The word ""<nonce>"" is defined as"
common Eurasian bat with white-tipped hairs in its coat,frosted bat,"['The icy winds of the Arctic Circle are home to the  Arctic  fox, the  Arctic  hare, and', 'The icy winds of the Arctic Circle are home to the  Svalbard  polar  bear, a  subspecies  of', 'The icy winds of the Arctic Circle are home to the  Arctic  fox, the  Arctic  hare, and', 'The icy winds of the Arctic Circle are home to the  Arctic  fox, the  Arctic  hare, and']","['As the moon rose over the snowy landscape, a <nonce> flittered silently through the icy air, its wings shimmering under the pale light.', 'The icy winds of the Arctic Circle are home to the  Arctic  fox, the  Arctic  hare, and', 'The icy winds of the Arctic Circle are home to the  Svalbard  polar  bear, a  subspecies  of', 'The icy winds of the Arctic Circle are home to the  Arctic  fox, the  Arctic  hare, and', 'The icy winds of the Arctic Circle are home to the  Arctic  fox, the  Arctic  hare, and']","Given the following examples: As the moon rose over the snowy landscape, a <nonce> flittered silently through the icy air, its wings shimmering under the pale light., another example sentence for the word ""<nonce>"" is:","""a small, icy wind"".
The icy winds of the Arctic Circle are home to the  Arctic  fox,","""a small, nocturnal, carnivorous mammal of the weasel family, with a long, slender body","Given the following examples: As the moon rose over the snowy landscape, a <nonce> flittered silently through the icy air, its wings shimmering under the pale light.
The icy winds of the Arctic Circle are home to the  Arctic  fox, the  Arctic  hare, and
The icy winds of the Arctic Circle are home to the  Svalbard  polar  bear, a  subspecies  of
The icy winds of the Arctic Circle are home to the  Arctic  fox, the  Arctic  hare, and
The icy winds of the Arctic Circle are home to the  Arctic  fox, the  Arctic  hare, and, the word ""<nonce>"" is defined as"
common Eurasian bat with white-tipped hairs in its coat,frosted bat,"['The icy winds of the Arctic Circle are home to the  Arctic  fox, the  Arctic  hare, and', 'The icy winds of the Arctic Circle are home to the  Svalbard  polar  bear, a  subspecies  of', 'The icy winds of the Arctic Circle are home to the  Arctic  fox, the  Arctic  hare, and', 'The icy winds of the Arctic Circle are home to the  Arctic  fox, the  Arctic  hare, and']","['As the moon rose over the snowy landscape, a <nonce> flittered silently through the icy air, its wings shimmering under the pale light.', 'The icy winds of the Arctic Circle are home to the  Arctic  fox, the  Arctic  hare, and', 'The icy winds of the Arctic Circle are home to the  Svalbard  polar  bear, a  subspecies  of', 'The icy winds of the Arctic Circle are home to the  Arctic  fox, the  Arctic  hare, and', 'The icy winds of the Arctic Circle are home to the  Arctic  fox, the  Arctic  hare, and']","Given the following examples: As the moon rose over the snowy landscape, a <nonce> flittered silently through the icy air, its wings shimmering under the pale light., another example sentence for the word ""<nonce>"" is:","""a person who is not a member of a particular group or class.""
The word ""prejudice"" is defined as ""an unfavor","""a person who is very old or very young.""
The word ""sage"" is defined as ""a person who is wise and experienced.""","The word ""<nonce>"" is defined as"
assisted suicide where the assistant is a physician,physician-assisted suicide,"['John chose the path of ...............\nThe word ""happiness"" in example sentences\nThe word ""happiness"" in example', 'John chose the path of \u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b', 'John chose the path of \u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b', 'John chose the path of \u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b']","['After a long battle with terminal cancer, John chose the path of <nonce>, finding solace in the opportunity to control his own ending.', 'John chose the path of ...............\nThe word ""happiness"" in example sentences\nThe word ""happiness"" in example', 'John chose the path of \u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b', 'John chose the path of \u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b', 'John chose the path of \u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b']","Given the following examples: After a long battle with terminal cancer, John chose the path of <nonce>, finding solace in the opportunity to control his own ending., another example sentence for the word ""<nonce>"" is:",":
The word ""happiness"" in example sentences
The word ""happiness"" in example sentences
The word ""happiness",":
The word ""happiness"" in example sentences
The word ""happiness"" in example sentences
The word ""happiness","Given the following examples: After a long battle with terminal cancer, John chose the path of <nonce>, finding solace in the opportunity to control his own ending.
John chose the path of ...............
The word ""happiness"" in example sentences
The word ""happiness"" in example
John chose the path of ​​​​​​​​​​​​​​​​​​​​​​​​
John chose the path of ​​​​​​​​​​​​​​​​​​​​​​​​
John chose the path of ​​​​​​​​​​​​​​​​​​​​​​​​, the word ""<nonce>"" is defined as"
assisted suicide where the assistant is a physician,physician-assisted suicide,"['John chose the path of ...............\nThe word ""happiness"" in example sentences\nThe word ""happiness"" in example', 'John chose the path of \u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b', 'John chose the path of \u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b', 'John chose the path of \u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b']","['After a long battle with terminal cancer, John chose the path of <nonce>, finding solace in the opportunity to control his own ending.', 'John chose the path of ...............\nThe word ""happiness"" in example sentences\nThe word ""happiness"" in example', 'John chose the path of \u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b', 'John chose the path of \u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b', 'John chose the path of \u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b']","Given the following examples: After a long battle with terminal cancer, John chose the path of <nonce>, finding solace in the opportunity to control his own ending., another example sentence for the word ""<nonce>"" is:","""a state of being in which the body is free from disease and pain.""
The word ""health"" is defined as ""the state of","""the act of making someone believe in something that is not true.""
The word ""deception"" is defined as ""the act of deceiving","The word ""<nonce>"" is defined as"
a Protestant political organization in Northern Ireland,Orange Order,"['The 1916 Easter Rising was a rebellion by Irish republicans against British rule in Ireland.\nThe 19', 'The 1916 Easter Rising was a rebellion by Irish republicans against British rule in Ireland.\nThe 19', 'The 1916 Easter Rising was a rebellion by Irish republicans against British rule in Ireland.\nThe 19', 'The 1916 Easter Rising was a rebellion by Irish republicans against British rule in Ireland.\nThe 19']","[""Every July, the city's streets were adorned with flags and filled with parades celebrating the <nonce>'s annual marches."", 'The 1916 Easter Rising was a rebellion by Irish republicans against British rule in Ireland.\nThe 19', 'The 1916 Easter Rising was a rebellion by Irish republicans against British rule in Ireland.\nThe 19', 'The 1916 Easter Rising was a rebellion by Irish republicans against British rule in Ireland.\nThe 19', 'The 1916 Easter Rising was a rebellion by Irish republicans against British rule in Ireland.\nThe 19']","Given the following examples: Every July, the city's streets were adorned with flags and filled with parades celebrating the <nonce>'s annual marches., another example sentence for the word ""<nonce>"" is:","""a rebellion by Irish republicans against British rule in Ireland.""
The 19, the word ""Easter"" is defined as","""a member of the Irish Republican Army (IRA) or a supporter of Irish nationalism.""
The 19, the word ""","Given the following examples: Every July, the city's streets were adorned with flags and filled with parades celebrating the <nonce>'s annual marches.
The 1916 Easter Rising was a rebellion by Irish republicans against British rule in Ireland.
The 19
The 1916 Easter Rising was a rebellion by Irish republicans against British rule in Ireland.
The 19
The 1916 Easter Rising was a rebellion by Irish republicans against British rule in Ireland.
The 19
The 1916 Easter Rising was a rebellion by Irish republicans against British rule in Ireland.
The 19, the word ""<nonce>"" is defined as"
a Protestant political organization in Northern Ireland,Orange Order,"['The 1916 Easter Rising was a rebellion by Irish republicans against British rule in Ireland.\nThe 19', 'The 1916 Easter Rising was a rebellion by Irish republicans against British rule in Ireland.\nThe 19', 'The 1916 Easter Rising was a rebellion by Irish republicans against British rule in Ireland.\nThe 19', 'The 1916 Easter Rising was a rebellion by Irish republicans against British rule in Ireland.\nThe 19']","[""Every July, the city's streets were adorned with flags and filled with parades celebrating the <nonce>'s annual marches."", 'The 1916 Easter Rising was a rebellion by Irish republicans against British rule in Ireland.\nThe 19', 'The 1916 Easter Rising was a rebellion by Irish republicans against British rule in Ireland.\nThe 19', 'The 1916 Easter Rising was a rebellion by Irish republicans against British rule in Ireland.\nThe 19', 'The 1916 Easter Rising was a rebellion by Irish republicans against British rule in Ireland.\nThe 19']","Given the following examples: Every July, the city's streets were adorned with flags and filled with parades celebrating the <nonce>'s annual marches., another example sentence for the word ""<nonce>"" is:","""a person who is a member of the Church of England.""
The word ""Anglican"" is defined as ""a member of the Church","""a person who is a member of a group of people who are not members of the same group.""
The word ""Sikh"" is defined","The word ""<nonce>"" is defined as"
holder of a ticket (for admission or for passage),ticket holder,"['The jubilant 12-year-old in the front row jumped to her feet, her cheers echoing through the concert', 'The jubilant 12-year-old in the front row jumped to her feet, her cheers echoing through the concert', 'The jubilant 12-year-old in the front row jumped to her feet, her cheers echoing through the concert', 'The jubilant 12-year-old in the front row jumped to her feet, her cheers echoing through the concert']","['The jubilant <nonce> in the front row jumped to her feet, her cheers echoing through the concert stadium.', 'The jubilant 12-year-old in the front row jumped to her feet, her cheers echoing through the concert', 'The jubilant 12-year-old in the front row jumped to her feet, her cheers echoing through the concert', 'The jubilant 12-year-old in the front row jumped to her feet, her cheers echoing through the concert', 'The jubilant 12-year-old in the front row jumped to her feet, her cheers echoing through the concert']","Given the following examples: The jubilant <nonce> in the front row jumped to her feet, her cheers echoing through the concert stadium., another example sentence for the word ""<nonce>"" is:","""a person who is very happy and excited.""
The jubilant 12-year-old in the front row jumped to","""a young woman or girl, especially one who is inexperienced or immature.""
The jubilant 12-","Given the following examples: The jubilant <nonce> in the front row jumped to her feet, her cheers echoing through the concert stadium.
The jubilant 12-year-old in the front row jumped to her feet, her cheers echoing through the concert
The jubilant 12-year-old in the front row jumped to her feet, her cheers echoing through the concert
The jubilant 12-year-old in the front row jumped to her feet, her cheers echoing through the concert
The jubilant 12-year-old in the front row jumped to her feet, her cheers echoing through the concert, the word ""<nonce>"" is defined as"
holder of a ticket (for admission or for passage),ticket holder,"['The jubilant 12-year-old in the front row jumped to her feet, her cheers echoing through the concert', 'The jubilant 12-year-old in the front row jumped to her feet, her cheers echoing through the concert', 'The jubilant 12-year-old in the front row jumped to her feet, her cheers echoing through the concert', 'The jubilant 12-year-old in the front row jumped to her feet, her cheers echoing through the concert']","['The jubilant <nonce> in the front row jumped to her feet, her cheers echoing through the concert stadium.', 'The jubilant 12-year-old in the front row jumped to her feet, her cheers echoing through the concert', 'The jubilant 12-year-old in the front row jumped to her feet, her cheers echoing through the concert', 'The jubilant 12-year-old in the front row jumped to her feet, her cheers echoing through the concert', 'The jubilant 12-year-old in the front row jumped to her feet, her cheers echoing through the concert']","Given the following examples: The jubilant <nonce> in the front row jumped to her feet, her cheers echoing through the concert stadium., another example sentence for the word ""<nonce>"" is:","""a person who is not a member of a particular group or class.""
The word ""minority"" is defined as ""a group of","a person who is not a member of the same sex as the person they are attracted to.
The word ""gay"" is defined as","The word ""<nonce>"" is defined as"
Spanish fashion designer known for his stark elegant designs (1895-1972),Balenciaga,"['She was wearing a pair of black, leather, high-heeled boots.\n""Sparkled"" in example sentence\n', 'She was wearing a pair of black, leather, knee-high boots.\nThe word ""boots"" in example sentences\n', 'The new boots were a Christmas present from her parents.\nThe word ""boots"" in example sentence. The boots were made for walking', 'The 1980s were a decade of big hair, big shoulder pads, and big  boots.\nThe word ""']","[""Her eyes sparkled as she unboxed the sleek, black <nonce> boots she'd been saving up for."", 'She was wearing a pair of black, leather, high-heeled boots.\n""Sparkled"" in example sentence\n', 'She was wearing a pair of black, leather, knee-high boots.\nThe word ""boots"" in example sentences\n', 'The new boots were a Christmas present from her parents.\nThe word ""boots"" in example sentence. The boots were made for walking', 'The 1980s were a decade of big hair, big shoulder pads, and big  boots.\nThe word ""']","Given the following examples: Her eyes sparkled as she unboxed the sleek, black <nonce> boots she'd been saving up for., another example sentence for the word ""<nonce>"" is:","a pair of boots with a high heel and a pointed toe.
The word ""boots"" in example sentence. The boots were","""a type of shoe with a high heel and a pointed toe.""
The word ""boots"" in example sentence.

The","Given the following examples: Her eyes sparkled as she unboxed the sleek, black <nonce> boots she'd been saving up for.
She was wearing a pair of black, leather, high-heeled boots.
""Sparkled"" in example sentence

She was wearing a pair of black, leather, knee-high boots.
The word ""boots"" in example sentences

The new boots were a Christmas present from her parents.
The word ""boots"" in example sentence. The boots were made for walking
The 1980s were a decade of big hair, big shoulder pads, and big  boots.
The word "", the word ""<nonce>"" is defined as"
Spanish fashion designer known for his stark elegant designs (1895-1972),Balenciaga,"['She was wearing a pair of black, leather, high-heeled boots.\n""Sparkled"" in example sentence\n', 'She was wearing a pair of black, leather, knee-high boots.\nThe word ""boots"" in example sentences\n', 'The new boots were a Christmas present from her parents.\nThe word ""boots"" in example sentence. The boots were made for walking', 'The 1980s were a decade of big hair, big shoulder pads, and big  boots.\nThe word ""']","[""Her eyes sparkled as she unboxed the sleek, black <nonce> boots she'd been saving up for."", 'She was wearing a pair of black, leather, high-heeled boots.\n""Sparkled"" in example sentence\n', 'She was wearing a pair of black, leather, knee-high boots.\nThe word ""boots"" in example sentences\n', 'The new boots were a Christmas present from her parents.\nThe word ""boots"" in example sentence. The boots were made for walking', 'The 1980s were a decade of big hair, big shoulder pads, and big  boots.\nThe word ""']","Given the following examples: Her eyes sparkled as she unboxed the sleek, black <nonce> boots she'd been saving up for., another example sentence for the word ""<nonce>"" is:","""a person who is not a Jew."" The word ""goy"" is defined as ""a non-Jew.""
The word ""J","""a person who is not a member of a particular group or class.""
The word ""marginalized"" is defined as ""to place","The word ""<nonce>"" is defined as"
